小美人鱼2
你是我的世界  You are my world
再强的敌人也不会退缩  Daring the dastards to put up their dukes
不问结果  Great globs of gore We'll storm the shore
为正义我们写下承诺  And seek the unknown
我们能活着回来吗？  Then can we go home?
冲锋迪普 敢死戴许  Titanic Tip and Daring Dash
我们是冒险双人组  Adventurers  slash  explorers
冲锋迪普 敢死戴许  Titanic Tip and Daring Dash
我们是冒险双人组  Adventurers  slash  explorers
重洋远渡 誓死保护  Our gallant quest to do our best
所有人对我欢呼  And smile for our adorers
成功出击     创造奇迹  We'll save the day     And make a splash
冲锋迪普 敢死戴许  Titanic Tip and Daring Dash
我用螃蟹爪子来用力敲  We'll clobber those crabs with their clammy claws
我用我的嘴巴来用力咬  We'll shatter those sharks with their savage jaws
他无法闪避     我们所向无敌  The battle is fierce     And mercifully brief
所有的人为你庆祝 这成功胜利  The conquering heroes return as kings of the reef
享用这美味  We'll dine with the best
穿着有品味  Dressed with a flair
攀登高山  Climb every mountain
还要超越巅峰  Because it's there
改写历史创造那奇迹  Come on, follow me We'll make history
要勇敢向前  To courage To us
三叉戟     尽全力  The trident     Or bust
冲锋迪普 敢死戴许  Titanic Tip and Daring Dash
我们是冒险三人组  Adventurers  slash  explorers
冲锋迪普 敢死戴许  Titanic Tip and Daring Dash
我们是冒险三人组  Adventurers  slash  explorers
成功出击     创造奇迹  We'll save the day     And make a splash
美莉缇     迪普 敢死戴许  Melody     Tip and Daring Dash
我们三人一条心不畏艰难  All for three and three for one
亚特兰提卡  Atlantica
打胜仗  Here we come
我就知道这是真的  I knew it It's real
亚特兰提卡  Atlantica.
没有错 小公主  That's right, Princess.
再继续向前走  Just a little further.
斗蓬 匕首  Cloak Dagger
去确定不准让任何人 干扰她的归来  Go make sure that no one interferes with her return. Hmm?
爸爸 你有她的消息吗？  Have you heard anything, Daddy?
我到处都找过了 但是我… 小比目鱼  I've been searching everywhere, but I'd... Flounder
爸爸  Daddy
又怎么了  Now what?
对不起     艾莉儿  Sorry.     Ariel?
小比目鱼？     艾莉儿  Flounder?     Ariel
我好想念你  Oh, I've missed you
老天 你再也不是以前那个小东西了  Boy, you're sure not a guppy any more.
你说得一点也没错  You can say that again.
来玩球     给我  Over here     Throw it to me
对了     给我…  Yeah     I want it
孩子们 我跟你们说过多少次了  Children, what did I say
不要在暗礁上面踢蚌壳  about playing Kick the Clam on the reef?
对不起 爸     小东西  Sorry, Dad.     Kids.
关于美莉缇的事我很抱歉  I'm sorry about Melody.
小比目鱼 我真的需要你的帮忙  Flounder, I really need your help.
你放心 任何人都没有办法阻止我  Wild sea horses couldn't stop me.
来吧     跟我来  Oh, boy     Follow me
来吧  Come on
这里好漂亮啊  It's so beautiful.
抱歉 我的…     抱歉 我的错  Sorry. My...     Sorry. My fault.
错     嗨  ...fault.     Hi.
我以前在这儿没见过你 你叫什么名字？  I don't think I've seen you around here. What's your name?
我是美…  I'm Mel... Mel...
大伙儿 来见美美  Hey, guys Meet Mel  Mel.
嗨     想跟我们一起玩吗？  Hi.     Hey, you wanna hang out with us?
好了 好了 让开吧 快点让开  All right, all right. Break it up. Break it up
这里没什么好看的 快点走  There's nothing to see here. Move along.
走了 超人气小姐  Come on, Miss Popularity.
我们还有个任务要完成 记得吗  We have a previous engagement. Remember?
有空我们再一起玩  Maybe I'll catch you later.
这就是  This is what happens
带着乡巴佬鱼儿 到大城市的后果  when you bring a country fish to the big city.
那是一只企鹅吗？  Was that a penguin?
我要上来  Nice crib.
快 跟我来  Come on. Follow me.
一定就是他了  That must be him.
他看起来好悲伤  He looks sad.
他不像一个贼     一向都是如此  He doesn't look like a thief.     They never do.
你们看在那里  Look There it is
叉子？ 我们为了一支叉子冒生命危险  A fork? We're risking our tails for a fork?
我们没有时间在这儿用餐  We haven't time for this.
我要每个有空的人鱼加入搜索  I want every available merman searching
去找她 找回她  Find her
戴许 如果要完蛋了  Dash, if this is the end,
伙伴 我只希望你知道  I just want you to know, pal,
我很抱歉去笑你的那些肥肉  I'm sorry I said that thing about the blubber.
我也不该说你有口臭的事     是吗？  Well, I'm sorry about the fish breath.     Yeah...
你从来没说过这个事     但我心里想过  You didn't say anything about that.     But I was thinking it.
川顿大王 您的女儿回来了  King Triton, your daughter has returned.
刚刚好险哦  Ooh, that was close.
是啊 没错 你慢慢来 放轻松  Oh, sure, that's it. Take your time. Kick back. Relax.
我们就没事在这儿等着送命吧  Let's all just linger here and die
我相信她很快就会出现  I'm sure she'll turn up soon.
他又回来了  He's coming back
我的坠子  My necklace
艾莉儿 不要担心 我们会找到她的  Ah, don't worry, Ariel. We'll find her.
爸爸 三叉戟呢？  Daddy The trident
这是不可能的  But that's not possible.
没有人能从三叉戟的座上 拿起它  Nobody can remove the trident from the stand except you, sire.
只有你 陛下 只有你或是你的子孙啊  You or one of your descendants.
美莉缇  Melody.
我到底该看顾谁  Who I was supposed to be watching.
来吧 把我剖开 把我做成螃蟹蛋糕吧  Go ahead, crack me open. Make a crab cake out of me, sire.
她是怎么到这里来的  But how could she have gotten here?
莫吉娜 如果是她拿了我的三叉戟的话  Morgana. If she gets her hands on my trident...
搜索队再加一倍  Double the search parties
我要海里每一种生物 都开始巡逻  I want every creature in the ocean on patrol
遵命 陛下  Yes, sire
等一下  Wait a minute.
我认识那两个  I know those two.
这全是我的错  It's all my fault.
如果我能再多注意她一点  If I had just paid a little more attention
而不是喋喋不休 一直讲  instead of blabbering on and on and on...
一直讲 一直讲  ...and on and on.
国王陛下 从现在起 任何人休想经过…  From now on, Your Majesty, nothing gets past
我这  me.
我们成功了  We did it
这么久以来 亚特兰提卡原来就在家附近  All this time Atlantica was never that far away from home.
这里就是你的家？  This is your home?
以前是的  It used to be.
好棒的家 外面看来真是壮观  Whoa, what a pad. Talk about your kerb appeal.
不过有了那面墙  But what's with the wall?
让人感觉好像有层隔阂 看起来怪怪的  I know good fences make good neighbours, but isn't that a bit much?
是啊？你们想阻止什么外人  What you trying to keep out?
那面墙不是要阻止外人  It wasn't built to keep something out.
只是为了想要阻止我  It was built to keep me in.
走 我们走  Come on. Let's go.
孩子 你知道吗？ 我们三个可以变成很棒的搭档  You know, kid, the three of us, we make a pretty good team.
等你永远成为美人鱼 我们就是永远的朋友  Once you're a permanent mermaid, we'll be friends forever.
我们永不分离     什么事都不能把我们分开  We'll be inseparable.     Nothing will ever come between us.
鲨鱼 快逃 快闪     鲨鱼  Shark Run Run     Shark
别跑  No, wait
等一下 那只是…  It's just...
这么急着走  Leaving so soon, boys?
该怎么说呢 有本事就是老大  What can I say? When you got it, you got it.
你拿到了  Hey You got it
宝贝 你是我的英雄  Sweetheart, you're my new hero.
走吧 该来玩一点魔法了  Let's go. It's time for some magic.
但… 但是我的朋友  But... But my friends...
你说你把那两个胆小鬼 当成你的朋友  Ha You mean you call those two yellow  bellied sea slugs your friends?
走啊  Come on
你到底想不想当人鱼啊  You wanna be a mermaid, or what?
我们有力量 我们有力量  We got the power. We got the power.
我们有力量  We got the power
原来是在这里  So there it is.
尽可能快游回去告诉我爸爸 我会试着去找美莉缇  Swim back as fast as you can and tell my father. I'll try to find Melody.
跟那些蝠魟鱼  Oh, but if that old sea witch is in there, and then there's that mean little shark,
然后她用那些… 那些恶心的触角  and then those manta rays come, and then she takes those creepy tentacles
那种吸盘吸住你的脸蛋 然后 然后…  so suction cups stick to your face, and...
你休想自己单独跑进那里  No way you're going in there alone.
但是小比目鱼 如果我们都进去  But, Flounder, if we both go,
谁去告诉爸爸莫吉娜在哪儿  who's going to tell Daddy where Morgana's lair is?
这里到底在吵些什么 美莉缇在这里吗？  What's all the whispering about? Is Melody around here?
你找到她没有？如果她…     史卡托  Did you find her yet? If she's...     Scuttle
下来不要出声  Get down and be quiet.
等一下  Wait a minute.
史卡托可以去求救啊  Scuttle can get help.
史卡托 我有一件非常重要的事 需要你帮忙  Scuttle, I need you to pay very close attention.
我们糗大了  We're doomed.
哎呀 亲爱的 你回来啦  Oh, there you are, darling
我实在好为你担心  Oh, I was so worried about you.
瞧瞧 你带回我的三叉戟了  And look You've brought back my trident.
你真聪明     快给她 快给她…  Clever girl.     Give it to her Give it to her
原谅他 他对尺寸问题有点疯狂  Forgive him, dear. He's got a little size issue.
现在麻烦你 把手上的那个三叉…  Now, if you'll just hand over the...
美莉缇 不要 不要听她的     妈  Melody, don't Don't listen to her     Mom
你是一只美人鱼？     你是一只美人鱼？  You're a mermaid?     You're a mermaid?
艾莉儿 你能来真是太好了  Ariel, how nice of you to come.
你还带了比目鱼跟你一块儿  And you brought Flopper with you.
我的名字是比目鱼  The name's Flounder.
你才去呢 小侏儒  "Grrr" yourself, pipsqueak.
快用那东西指着我  Get that thing and hit me.
咬一口他就完蛋了  One bite, and he's shrimp toast.
亲爱的 快把那三叉戟给我  Sweetheart, hand me my trident now.
这么多年了 你… 你从来都没告诉过我  All this time, and you never told me?
这么重要的秘密 怎么可以瞒着自己的女儿呢  Kept the most important secret in her whole life from her own daughter.
拜托 把它给我 美莉缇  Please, give it to me, Melody.
不 交给我  No, hand it to me.
这是为你自己好     她在说谎  It's for your own good.     She's lying
我达成了你长久以来的心愿  I've given you what you've always wanted.
而她… 却是那个 一直都对你说谎的人  She's the one who lied to you all these years.
我… 我只是要保护你     所以把我关住  I was trying to protect you.     By fencing me in?
你明知道我有多爱大海  You knew how much I loved the sea.
你为什么 一直都不肯告诉我真相  Why did you keep the truth from me?
美莉缇 你听我说 如果现在可以 让我重新再来过的话 我一定…  Melody, listen to me. If there was one thing in my life that I could do over...
太迟了 妈  Too late, Mom.
美莉缇 不要  Melody, no
现在七海所有的权力 都是我的了  All the power of the seven seas at my command
哈罗 我们能照计划走吗  Hello Can we get with the programme?
下面这里还是个小世界  It's still a small world down here
妈  Mom
你妈妈所做的每件事情 都只是为了要保护你  Your mommy was only trying to protect you from moi
她会这么做全都是出自于…  What she did, she did out of...
爱  ...love.
小美莉缇 实在是非常顽皮的女孩  Little Melody's been a very naughty girl,
居然会偷自己外公的东西  stealing from her own grandfather.
什么 他是我的外公  My grandfather?
川顿国王 海洋的最高总指挥 亚特兰提卡的统治者  King Triton, ruler of Atlantica, commander in chief of all of the oceans
至少以前是 直到某个小偷出现为止  Or at least he was, until a certain little thief came along.
你这个骗子  You tricked me.
不能怪任何人 只能怪自己  You've got no one to blame but yourself.
告诉我 美莉缇  Tell me, Melody.
当人鱼是你最大的梦想  Is being a mermaid everything you dreamed?
这样做值得吗？  Was it worth it?
美莉缇  Melody
还有一件事  Oh, and by the way,
你当人鱼的时间就快要过了  your time as a mermaid has just about expired.
待会儿见了  Catch you later.
我还有更大的事要办  I've got bigger fish to fry
更大的事 这才像话啊  Bigger fish Now, there's an idea
我们还得继续试  We gotta keep trying.
没有用的 这个太厚了  It's no use. It's too thick.
比目鱼  Oh, Flounder.
我把事情都搞砸了  I've ruined everything.
我们是废物 两个废物  We're guppies, man. Jellyfish.
伟大的迪普和戴许  The great Tip and Dash.
根本就是两个没用的胆小鬼  Cowards  slash  losers.
至少我们还活着  Well, at least we're alive.
是啊 如果这也叫作活着的话  Yeah, if you wanna call this living.
没错 这么想的话  Okay, on the one hand,
我们就可以活得健康又长寿  we can live a long, healthy life
只是令人恶心 可悲 懦弱…  albeit as disgusting, pathetic, cowardly...
寄生虫     这个好 很好  Worms.     That's good. Good.
懦弱的寄生虫  Cowardly worms.
但另一方面 我们可以鼓起勇气  On the other hand, we could gather our courage, if we had any
如果我们有的话 攻击那个要塞 并且当英雄  and storm the fortress and be heroes.
是啊 直到他们把我们拿去当鱼饵  Yeah, until they hack us up into fish bait.
你说得对  You're right.
美莉缇在里面  Melody's in there.
她可能有大麻烦 她可能真的需要我们的帮忙  She could be in big trouble. She may really need our help
所以要怎么样  So what's it gonna be?
一辈子都当寄生虫  A lifetime as worms,
还是只有两分钟的英雄  or two minutes as heroes?
全都向莫吉娜女王致敬  All hail Queen Morgana
我在致敬 我在致敬  I'm hailing I'm hailing
撑着点 艾莉儿  Hold on, sweetie
救兵赶到了  The cavalry is coming
艾莉儿  Ariel
亚力克王子  Ah Prince Eric.
你也来参加派对  Come to join the party?
我们玩得正开心  We're having a blast
这是乌苏拉最想看到的画面  Oh, how dear Ursula would have adored this.
莫吉娜  Morgana
川顿国王？  King Triton?
拜托 你只能做到这样而已吗？  Oh, please Is that the best you can do?
快放开我女儿 并交出我的外孙女  Release my daughter, surrender my granddaughter
我或许会饶了你  and I shall spare you.
你要怎么做？ 拿螃蟹砸我吗？  What you gonna do? Throw the crab at me?
面对现实吧 川顿 你已经完了  Face it, Triton. You're all washed up
我要教你一点礼貌才行  I'm gonna be teaching you some manners
这下可好 我成了饵了  Oh, look at me. I'm bait
小心啦  Look out
美莉缇在哪儿？ 你把美莉缇怎么了？  Where's Melody? What have you done with her?
你想加入你的女儿 这个我想是可以安排的  Oh, you want to join your daughter? I think that can be arranged.
亚力克  Eric
你是一个很坏心的女人  You are a very bad lady
非常坏  Very bad.
两位 想去哪儿啊  Going somewhere, boys?
我们只是在找企鹅的厕所  Uh, we're just looking for the little penguings room.
很荣幸能够认识你  Well, it's been nice knowing ya.
他真是一个勇敢的家伙  Now, that is one brave hunk of blubber.
我来拖住他 你去找美莉缇  I'll hold him You go find Melody
快一点  Hurry
天啊 这是怎么回事啊  What's... What's happening?
不  Oh, no Oh...
你不是说你要拖住他     我正在拖他  I thought you were gonna hold him     I am holding him
大鱼乖乖  Nice fishy.
你长的好大  Ooh. Big fishy.
撑着点 美莉缇  Hold on, Melody
就算是拼了我这条老命  I'm gonna bust us out of here
我也一定会带我们…  if it's the last thing I...
离开这里  do.
迪普  Tip Help
又完美的执行了一个计划  Another plan perfectly executed.
美莉缇  Melody
我现在有了三叉戟  Fools I have the trident now.
海洋中所有的生物 都在我的掌握中  And all the creatures of the sea are in my power
我是海洋的女王  I'm the queen of the sea,
你们全都要匍匐在我脚下  and you will bow down before me
这会出人命的     你这可怜的笨蛋  This can't be good for the lower back.     Pathetic fools
见识我拥有多么伟大的力量  Watch and see how utterly powerful I can be
你们这些有鳍的  The end begins
全都开始完蛋了  for all of you with fins
轮到你了 川顿  That's it, Triton.
跪下  Bow down
快点给我跪下  Bow down before me
不 国王陛下 你不能跪  No, Your Majesty. You mustn't.
对不起 赛巴斯丁  I'm sorry, Sebastian. I have no choice.
我… 我别无选择  Oh Wishes do come true.
看到了没有 妈  See that, Ma?
现在你最喜欢谁啊  Who's your favourite now?
都结束了 川顿  It's over, Triton.
现在我宣判你…  I sentence you
永远被湮灭  to oblivion
是你  You
你以为你拿那个东西 能够做什么？  Just what do you think you're going to do with that?
你退后  Stay back
你拿反了 宝贝  Wrong end, sweetheart.
外公吗？  Grandfather?
我想这应该是属于你的  I think this belongs to you.
不  No
你跟你的同伴 再也不能威胁我的家人  Never again will you or yours threaten my family.
你们将再也无路可逃  There will be no escape for you
直到永远  ever
爸？     美莉缇  Dad?     Oh, Melody,
我好怕我们会失去你  I was so afraid we'd lost you.
妈 对不起  I'm sorry, Mother.
不 宝贝 我们很抱歉  Oh, no, sweetie. We're sorry.
我们早该告诉你真相的  We should have told you the truth.
我不是故意要伤害你们  I didn't mean to hurt anyone.
只是我一直希望 我能当一只快乐的人鱼  I just hoped I'd be a better mermaid than a girl.
美莉缇 无论你是有脚 或者是鳍都没关系  Oh, Melody, sweetie, it doesn't matter if you have fins or feet.
我们爱的是原来真正的你  We love you for who you are on the inside.
我们非常勇敢的小女儿  Our very brave little girl.
就像你妈一样  Just like your mother.
外公  Oh, Grandfather
美莉缇 我不会怪你想要加入 我们的人鱼族  Melody, I don't blame you for wanting to join us merfolk.
因为你是我最可爱的外孙女  And because you're my granddaughter,
我要给你一个最宝贵的礼物  I'm giving you a most precious gift.
一个选择 你可以跟我到亚特兰提卡  A choice, you can come to Atlantica with me
或是你可以回到你陆地上的家  or you can return to your home on land.
你自己选择  It's up to you.
我有一个更好的办法  I have a better idea.
现在我们全都能在一起了  Now we can all be together
我听见音乐响起 在空中飘荡不停  I feel the music playing It's swinging and it's swaying
挑动我的神经  Life is a rhapsody
今天大伙儿多开心 我们要团聚一起  Today we're so delighted Today we're all united
在海洋和陆地  Here on the land and sea
船儿在水面航行  I see the sails are sailing Even the whales are whaling
鲸鱼也加入游行  We're swimming fancy free
世界风平浪静 这感觉多美好  We're feeling better now
我们又唱又跳 在海洋和陆地  We sing together now here on the land and sea
啦  嘀  哒 跟着节拍  La  dee  da Pick up the beat
放开怀自由自在  Move your fins and move your feet
来摇摆 多愉快  Life is sweet, life is grand
吹吹泡泡烦恼都抛开  Blowing bubbles with the bass sprats band
大家一起来     快下来嘛  Everybody now     Come on in
这里的水够大家玩的啦  There's plenty of water for everyone
当心  Look out
再没有狂风暴雨     从今后我们一起  There's no more stormy weather     Now we can sing together
唱出优美旋律  In perfect harmony
这感觉多美好  We're feeling better now
我们又唱又跳 在海洋和陆地  We sing together now here on the land and sea
唱出声音     啦 嘀 哒 嘟  Those on land sing     La dee dah doh
唱出热情     啦 嘀 哒 嘟  Those below sing     Lo dee doh doh
多欢欣 无法言喻  Life is sweet as sweet can be
在海洋也在陆地  On the land and on the sea
大家一起来  Everybody sing
来吧 迪普下来玩玩 海水很棒哦  Come on, Grimsby, join us. The water's great
我可不觉得 陛下 这主意好像有点荒唐  I think not, sir. The very idea seems rather absur...
这感觉多美好 我们又唱又跳  We're feeling better now We sing together now
在海洋和陆地  Here on the land and sea
抱歉  Sorry.
这感觉多美好 我们又唱又跳  We're feeling better now We sing together now
在海洋和陆地  Here on the land And sea
Look at this stuff, isn't it neat
Wouldn't you think my collection's complete
Wouldn't you think I'm the girl
The girl who has everything
Look at this trove Treasures untold
How many wonders can one cavern hold
Looking around here you'd think
Sure, she's got everything
I've got gadgets and gizmos a  plenty
I've got who's  it's and what's  it's galore
You want thingamabobs I've got twenty
But who cares No big deal
I want more
I want to be where the people are
I want to see Want to see them dancing
Walking around on those What do you call them
Oh, feet
Flipping your fins you don't get too far
Legs are required for jumping, dancing
Strolling along down the What's that word again
Street
Up where they walk
Up where they run
Up where they stay all day in the sun
Wandering free
Wish I could be part of that world
What would I give if I could live
Out of these waters
What would I pay to spend a day
Warm on the sand
Betcha on land they understand
Bet they don't reprimand their daughters
Bright young women
Sick of swimming
Ready to stand
And ready to know what the people know
Ask them my questions and get some answers
What's a fire and why does it What's the word
Burn
When's it my turn Wouldn't I love
Love to explore that shore up above
Out of the sea
Wish I could be
Part of that world

