超人总动员2
鲍勃 何莉  Bob, Helen...
我还有句话要说  a word if you don't mind.
超人援助项目遭到中止了  Uh, the program's been shut down.
什么  What?
那些政客永远不能理解  Politicians don't understand people...
有人做好事只是因为他们想伸张正义  who do good simply because it's right.
搞得那些政客很紧张  It makes 'em nervous.
多年来他们一直想抓超人的把柄  They've been gunning for Supers for years.
今天让他们抓了个正着  Today was all they needed.
总而言之  Anyway...
我要走人了  I'm done.
我只能在帮你们再多交  I'm afraid two more weeks in the motel
两个星期的汽车旅馆住宿费  is the best I can do for ya.
帮不上太多了  It ain't much.
你为我们做的够多了  You've done plenty, Rick.
我们不会忘记的  We won't forget.
很荣幸能和你们这样  Well, it has been a great honor
善良的人一起工作  working with you good people.
谢谢你做的一切 祝你好运  Thanks for everything, and good luck.
谢谢你也是  Yeah. You, too.
你刚才洗手了吗  Did you wash your hands?
应该用肥皂洗  With soap?
你擦手了吗  Did you dry them?
什么 里面怎么都是难吃的蔬菜 哪个讨厌鬼点这么多菜  What? Is this all vegetables? Who ordered all vegetables?
我点的 多吃蔬菜有好处  I did. They're good and you're going to have some.
我们难道就不提这事了  Are we going to talk about it?
什么事    大家都装看不见的事  What?    The elephant in the room.
什么看不见的事    那我还是不要提了  What elephant?    I guess not then.
你指的是今天的事  You're referring to today.
对 今天到底是什么情况  Yeah, what's the deal with today?
我们都会犯错误  We all made mistakes.
举个例子来说  For example,
你们两个今天应该照顾小杰  you kids were supposed to watch Jack  Jack.
那我们去看孩子 你们俩打击犯罪拯救城市  Babysitting, while you guys did the important stuff.
我们已经谈过了  We talked about this.
你们年纪太小还不能做决定  You're not old enough to decide about these things.
可我们多少能帮上点忙  We are old enough to help out.
对  Yeah!
这不是你说的吗 爸爸  Isn't that what you tell us, Dad?
对 这个 帮忙也可以有很多种形式  Yeah, well, "help out" can mean many different things.
你们有麻烦我们就应该帮忙  But we're supposed to help, if there's trouble.
对 也对  Well, yeah, but...    Aren't you
我们今天帮忙你们难道不高兴吗    我很高兴 但是  glad we helped today?    Yeah, I know but...
你说过为我们感到骄傲  You said that you were proud of us.
我是说了是骄傲  Well, yeah, I was. Am!
我们也要去教训坏蛋  We wanna fight bad guys!
不 你们不许去  No, you don't!
你说过情况已经不一样了  You said things were different now.
的确不一样 那可是在岛上  And they were, on the island.
我可没有说你们现在…  But I didn't mean that from now on...
所以我们以后永远不能使用超能力  So now, we've gotta go back to never using our powers.
这会影响我的人生观  It defines who I am.
我们没说你们不能…  We're not saying you have...
什么    电视里就是这么说的  What?    Someone on TV said it.
能不能先吃饭 先别吵  Can we just eat?
饭都快凉了  The dinner, while it's hot?
我们今天做错事了吗  Did we do something wrong?
是的    没有  Yes.    No.
我们今天做的不是错事  We didn't do anything wrong.
使用超能力还是违法的  Superheroes are illegal.
不管公不公平 这就是法律  Whether it's fair or not, that's the law.
法律就应该公平 不然我们怎么教育孩子  The law should be fair. What are we teaching our kids?
叫他们怎么尊重法律  To respect the law!
要是那法律是不公平的 不值得尊重的 怎么办  Even when the law is disrespectful?
法律不公平也通过法律来修正  If laws are unjust, there are laws to change them!
不然一切都乱套了  Otherwise, it's chaos!
我们生活就已经乱套了  Which is exactly what we have!
我是觉得 只有那样才酷  I just thought it was kinda cool.
哪样才酷    与家人一起 去打击犯罪  What was?    Fighting crime as a family.
那是很酷  It was cool.
但也过去了 世界就是这样  But it's over. The world is what it is.
我们必需要适应世界  We have to adapt.
世界是不是很糟  Are things bad?
世界很正常  Things are fine.
我能走了吗  May I be excused?
我们还要在汽车旅馆住到什么时候呀爸爸  How much longer in the motel, Dad?
不会太久了宝贝  Uh...    Not much longer, honey.
以后该怎么办  What are we gonna do?
我也不知道  I don't know.
也许迪瑞克还会帮我  Maybe Dicker will find something?
他不会再帮我们了  Dicker is done, Bob.
我们想要再一次成为超人 根本就是幻想  Any thought we had about being Supers again is fantasy.
我们中至少得有一个人找份工作  One of us has gotta get a job.
找份工作  One of us?
你在安心保险干了很多年  You did a long stint at Insuricare.
每一分钟都会是煎熬  Hated every minute of it.
我知道这样你很痛苦  I know it was hard on you.
也许我去找份工作  Maybe it's my turn in the private sector
你留在家里照顾孩子们  and you take care of the kids...
不 还是我去吧 我必须要工作  No, I'm doing this. I need to do this.
我的西服和领带你放哪了  You know where my suit and ties are?
飞机砸中了我们房子的时候  Burned up when...
都烧了  The jet destroyed our house.
是啊  Yeah.
我们现在不能依靠任何人的帮助  We can't count on anyone else now, Bob.
只能靠自己  It's just us.
不能等着别人  We can't wait for...
没有人护着咱们了  No lifeguard on duty!
得自力更生咯  Swim at your own risk.
你今天又跑哪去了  Oh, where'd you go today?
为什么不跟我们去喝茶  I noticed you missed all the fun.
别生气 因为我知道什么是优雅退场  Don't be mad because I know when to leave a party.
因为我和你们一样违反了法律  I'm just as illegal as you guys.
另外 我还知道警察会放了你们  Besides, I knew the cops would let you go.
对 鲍勃还想多住两天  Yeah, in spite of Bob's best efforts.
是 没错  Yeah, yeah, yeah.
我听说援助项目停了  I heard the program shut down.
你们在旅馆里还能住多久  How much longer are you in this motel?
两个星期  Two weeks.
对了 你说了我可以帮你们  Now, you know the offer still stands.
谢谢你的好意 可我们家有五口人  You're very generous, but there are five of us.
不能跑去给你们添麻烦  We wouldn't do that to you and Honey.
好吧 随时欢迎  Well, door's always open.
不过今天不光只有坏消息  You know, the news isn't all bad.
你们在警察局里喝茶的时候  While you guys were being detained...
有个人来找我 他可是大财团的代表  I was approached by a dude who represents this tycoon.
文斯顿·迪沃    他想找我谈谈  Winston Deavor.    Wants to talk...
还有你们两个 谈谈超能力的事  with me, with you two, about hero stuff.
我查过了  I checked him out.
他很守法  He's legit.
是迪瑞克的学生 他想见我们  Trained under Dicker. He wants to meet.
噢 天哪 又是超能力惹来的麻烦  Ah, jeez! More superhero trouble.
我们今天刚从警察局里出来鲁修斯  We just came from the police station, Lucius.
什么时候去    今天晚上 我现在就过去  When?    Tonight. I'm going there now.
祝你一路顺风 我们就不去了  You enjoy, I'm sitting this one out.
他想叫我们三个一起去  He wants all three of us.
亲爱的 我们起码先去听听他要说些什么  Honey, let's just at least hear what he has to say.
地址在名片上 我们一会见  You got the address, I'll meet you guys there.
我们还得穿超能装去  Go in our Supersuits?
对  Yeah.
也许还是穿旧式超能装比较好  Might wanna wear the old Supersuits.
我感觉那个人挺怀旧的  Got a feeling he's nostalgic.
你们两个要去哪  Where are you going?
今天晚上外面的空气特别的新鲜  The fresh air is especially good tonight.
要是小杰醒了  If Jack  Jack wakes up...
你知道该怎么办  I know the drill.
这是你们的识别牌 请走这边  Your security badges. Please, this way.
噢 对了 我是您的头号粉丝  Hey, listen, you're my biggest fan.
很高兴见到你  Good to see you.
真的 我是您的头号粉丝  I'm your biggest fan. Shoot!
我 最爱超级英雄  I love superheroes!
强大的超能力 超能装  The powers, the costumes...
还有华丽的战斗  the mythic struggles.
我是文斯顿·迪沃 可以叫我阿文  Winston Deavor. You can call me Win.
非常高兴能见到各位  Genuine pleasure to meet you.
酷冰侠    我也很高兴见到你  Frozone!    It's good to see you.
弹力女超人    见到你很高兴  Elastigirl.    Nice to meet you.
还有超能先生    你好  Mr. Incredible!    Hello.
超能先生  ♪ Incredible ♪
把坏人抓住 砰  ♪ Catching the bad guys Pow, pow, pow ♪
酷冰侠  ♪ Frozone Frozone ♪
酷冰侠  ♪ Frozone ♪
我简直无法用言语表达我内心的兴奋 这位是  Can't tell you what a thrill this is. And this...
大家好各位超人们 真的非常抱歉我迟到了  Oh, hello there, superheroes. I'm so sorry I'm late.
这是我拖拖拉拉的妹妹 伊芙琳  ...is my tardy sister, Evelyn.
我的确拖拉 我先自责 你不用这么指责我好吗 文斯顿  And I'm scolding myself so you don't have to, Winston!
太好了  Spectacular.
我父亲一定非常自豪  My father was so proud
我能和各位超人有一星半点的联系  that I was even remotely connected to you guys.
他管你们叫 正义的最后一道防线  He used to call you the last line of defense.
他最支持超能力了  He was your top supporter.
他出钱支持超人事业  He donated to superhero causes.
还筹资  He raised money
修建了市中心公园的傲魄侠雕像  for the Dynaguy statue in Avery Park.
他认识不少超人  He got to know many Supers personally.
甚至家里还安装了电话  Even installed a phone
紧急情况下  with direct lines to Gazerbeam and Fironic...
能直接打给电光眼和长枪侠  in case of emergencies.
他可高兴了 天天对人炫耀  He loved that, showed it off to everyone.
你们被迫停止活动的时候  He was heartbroken
他真的很伤心  when you were all forced to go underground.
父亲相信世界  Father believed the world
如果少了超人的保护会更危险  would become more dangerous without you.
没想到他的话成真了  He didn't know how right he was.
家里进了贼  There was a break  in.
我父亲马上打电话  My father called Gazerbeam.
直接向电光眼求助  The direct line.
没有人接  No answer.
他又打给长枪侠 也没有人接  He called Fironic, no answer.
当时刚刚宣布禁止使用超能力  Superheroes had just been made illegal...
父亲就在电话旁边被强盗  The robbers discovered him on the phone...
开枪杀害了  and shot him.
所以  So...
你们一定很难过  It must've been hard.
