淘宝店： 智美教育  整理
我要让他们闭门思过一个月    I will ground them for a month of blue moons.
哦 这边什么情况    Oh, what's going on in here?
嗯 好吧    Hmm. Well, all right.
哇哦 你们见过这么漂亮的东西吗    Wow. Have you ever seen something so beautiful?
天天见 蓝妹妹 每天都能见到    Every day, smurfette. Every day.
别跟个智障一样   你才智障呢    Don't be weird.   You don't be weird.
今晚我们可以在这露营    We can camp here for the night.
我来生火    I'll start us a fire.
给我找点木头 行吗 健健    Uh, fetch me some firewood, would you, hefty?
你不会加个"请"字吗    Um, a "Please" Would be nice.
对 加上请比较好听 但是我还没获得懂礼貌徽章呢    Yes, it would, but I haven't earned my manners badge,
所以 给我找点木头去    so get me some firewood.
笨笨 你还好吗    Clumsy? You okay?
嗯 当然好 真有意思    Yeah, sure. It's been fun.
好吧 也没到精彩绝伦的程度 但是还是有点乐趣的    Well, not tons of fun, but it's had its moments.
某种程度上    Kind of.
你知道我什么意思    You know what I'm trying to say.
其实并没有那么有趣    It hasn't been that much fun.
干得好 健健 你真棒    Well done, hefty. Well done.
好 第一步    All right, step one,
把木头堆成圆锥形    the wood should be stacked into a tepee like structure.
第二步 用打火石互相碰撞 然后    Step two, I tap this flint with a rock and...
你根本没在吹    You're not even blowing on it.
你在往木头上吐口水    You're spitting on it.
噢 奇了怪了    Hmm. That's odd.
健健  你找的木头可能受潮了    Perhaps the wood you collected was damp, hefty.
手册上说 立马就能点着    According to my manual, it should spark right up.
嘿 我有个主意    Hey, I've got an idea.
不 不 不 不要 不 不 不 不 不 不 不 不    No, no, no. No, no! No! No, no, no. No, no, no!
哦 哦 哦   你知道吗 你说得对 小聪明    Oh, oh, oh... You know, you're right, brain man.
你的书真好用    Your little book does come in handy.
真可耻 没有这本书 我们会迷路的    Shame. Shame on you. We'd be lost without this book.
我叫聪聪 我智商超群    My name is brainy. I'm super smart.
我是个聪明的蓝精灵    I'm the smart smurf.
但是我不会生火    But I can't start a fire.
还好 没烧坏 装订还很结实    Okay, the damage is minimal. The binding's still intact.
闻起来不错    It smells good.
大家想想    Just think, guys.
用不了多久    After all this time,
我们能完成目标    while we've been going about
回到精灵村的时候    our smurfy business back home,
就会有其他蓝精灵了 跟我们一样    there's been other smurfs out there, just like us.
也许跟我们完全不同    Or they could be nothing like us.
他说得对 不管他们是什么样的 我们都得接受    He's right. We should be prepared for whatever we find.
那些精灵可能都不是蓝色的    Those other smurfs might not even be blue.
可能是橙色的    Maybe they'll be orange.
哈 我喜欢橙色    Ah. I like orange.
要是他们都带着眼镜呢    What if they all wear glasses?
或者满脸浓密的胡子    Or have big, bushy mustaches.
要是他们长满鳞片 呲嘴獠牙呢    What if they have scaly skin and sharp teeth?
还有巨大的爪子 和瞪得圆溜溜的眼睛    And giant claws. And big, beady eyes.
要是他们有手呢    What if they have hands?
可以啊 兄弟    Good one, bro.
听着 他们长什么样不重要    Listen, it doesn't matter what they look like.
重要的是我们得提醒他们    We still have to warn them.
格格巫根本不了解我    Gargamel's wrong about me.
我不是为了帮他    It's not my purpose to help him.
我是为了救那些精灵    I'm meant to save those smurfs.
还有 我们会帮你    And we're gonna help you.
我们是蓝精灵小分队 这个任务我们一起完成    We're team smurf, and we're in this together.
我说"一起" 是指我和你    And by "Together," I mean me and you.
还有这俩 但是主要是我跟你    And those guys. But mostly me and you.
好 各位 蓝精灵自拍时间到    Okay, everyone. Smurfy selfie time.
一起喊 "蓝茄子"    Say, "Blue cheese."
蓝茄子    Blue cheese!
地图上显示    According to the map,
我们会遇到一条河    we should be arriving at a river.
没错    Check.
哇 哇哦    Wow. Whoa.
我俩眼都不够用了    It's like a workout for my eyeballs.
好的 快快兔 看看你能游多快吧    Okay, bucky, let's see how fast you can swim.
驾    Hyah!
上啊 快快兔    Come on, boy.
你可以的    You can do it.
就是条小河而已    What's a little water?
嘿    Hey.
嗯 哼    Uh huh.
你想说什么 快快兔    What's that, bucky?
这条河不安全    The river's unsafe
每个弯道都隐藏着危险    and full of dangerous surprises at every bend?
不 我没看出来有什么危险的    No. I didn't get any of that.
可能是荧光兔不会游泳    Perhaps glowbunnies don't swim.
那太糟糕了 看来得浪费不少时间了    That's too bad. We'd get there so much faster.
别灰心 勇敢的蓝精灵小分队    Fear not, my intrepid team smurf.
我可是有造筏荣誉徽章的    I didn't earn this raft building merit badge for nothing.
大功告成    Boom! Nailed it.
太棒了 聪聪    Impressive, brainy.
来    Here.
时髦又实用    Stylish and practical.
现在 准备出发    Now, let's launch this bad boy.
等下 记住 这条诡异的河    Wait. Remember, this strange river
可能藏着危险    may hold untold surprises.
我们必须谨慎小心    We must be cautious.
小心 说得对    Cautious. Good point.
准备推... 等下    And heave... Wait.
水流变化多端    The currents can be unpredictable.
我们必须打起精神 提高警惕    We must be alert and vigilant.
警惕 有道理    Vigilance? Good call.
来 倒数三 二   再等下    Now, on three, two... Wait!
我们必须确保时刻    We must make sure we always...
吧 吧 哔 邦    Bark, bark, bing, bang!
注意   嘣 嘣 哔 邦    Pay attention to the... Bong, bong, bing, bang!
水流速度    Rate of speed of the...
波 波 哔 邦 嘣 嘣    Berp, berp, bing, dang, bong, bong!
好了 出发吧    Okay, and we are off.
推 吼    Heave ho!
再见 快快兔   谢谢你    Bye, bucky.   Thanks for your help.
别担心 我们会没事的   拜 快快兔兔    Don't worry, we'll be fine.   Bye, little bucky bro.
再见 兔兔   等我们回来  （Hasta pronto:西班牙语）    Hasta pronto bunny.   See you on the way back!
嘿 这是什么    Hey. What is this thing?
如果我是你就不会动它    I wouldn't touch that if I were you.
哦 现在我满脑子都是动它了    Oh. Now all I want to do is touch it.
照这速度 格格巫肯定赶不上我们    At this pace, gargamel doesn't stand a chance.
看 沿着这条河走 我们就能到达目的地    Look. If we follow this river, we'll be right on course.
准确到达目的地 哈    Right on course. Huh?
找到终极宝藏    To the end of our rainbow.
蓝精灵 你们竟然没死    Smurfs? I thought I left you for dead.
坚持住 小分队    Hang on, smurf crew.
追上去    Gun it!
什么    What the...
不    No.
哇啊 别再搞破坏了    Whoa! Stop ruining things.
那可是我的专利    Ruining things is my thing.
什么    What?
阿兹猫 给我找个大点的棍儿    Azrael, get me a bigger stick.
哇哦    Whoa!
哦 天啊    Oh, dear.
笨笨 拉那个杆儿    Clumsy, pull the lever!
你确定 你不刚说不让动吗 这是个阴谋吗    Seriously? But you said not to. Is this a trick?
快拉    Pull it now!
哦 不    Oh, no.
哈 这是什么    Huh? What's this?
啊哈 阿兹猫    Aah! Azrael!
想想办法啊 停不下来了    Do something. It's never gonna stop.
让这木头停下来 这条河快呛死我了    Make the log stop spinning. This river is killing me.
当心    Look out!
我爱你们    I love you two.
太棒了 我们成功了 成功了    Yes! We did it! We did it!
看吧 我一直都说我们能成功 击个掌    See, I always believed we would do it. Take that!
救命 救命    Help! Help!
好的 我们并没有偏移路线    All right. We're still on course.
加快速度 健健    Double time it, hefty.
救命 我要沉下去啦 求求你们了 我害怕乌龟    Help! I'm sinking! Please. I'm afraid of turtles!
嗯 伙伴们 他在搞啥名堂    Uh, guys, what's he up to now?
救命 别管他    Help! Forget that guy.
我的猫不会游泳    My cat can't swim.
我们得帮他    We gotta help him.
你疯啦 为什么帮他    Are you crazy? Why?
因为这是我应该做的    Because it's what I do.
听他的    Listen to him!
但是他是我们的死敌    But he's our sworn enemy.
他是个不折不扣的大坏蛋    He is literally a villain.
我会做个好人的    I can change!
而且我袖子上有颗闪耀的红心呢 好吗    And I literally wear my heart on my sleeve, okay?
那是你的肩膀 不是袖子    That's your shoulder, not a sleeve.
我喜欢你的纹身    I like your tattoo!
我们得救他    We're doing this.
蓝妹妹 你劝劝他    Smurfette, talk some sense into him.
聪聪 我比任何人都讨厌格格巫 但是我们是蓝精灵    Brainy, I hate gargamel more than anyone, but we're smurfs.
我们要做正确的事    We do the right thing.
感谢上帝    Thank goodness for it!
我们得救他    And we have to save him.
我只想郑重声明    I just want to go on record
我坚决反对这个决定    that I'm decisively against this.
不管咋的 我们得救他    Whatever. We're doing it.
真是个好主意    Sounds awesome!
用这个 抓住    Use this. Grab on!
不知道这样做对不对    I don't know about this.
你不会后悔的    You won't regret it.
哦 谢谢你们 谢谢 真是有爱的蓝精灵    Oh, thank you. Thank you. Such a kind smurf.
你还好吗 哦 我没事    Are you okay? Oh, I'm okay.
湿透了 有点累 灌了点河水    Wet, a little tired, kind of waterlogged.
多谢关心 但是    Thanks for asking, but...
我还是个坏蛋 所以    I'm still evil, so...
享受溺水的快感吧    Enjoy drowning.
但愿你们都是游泳健将    Hope you're better swimmers
你们对巫师品性可真不了解    than you are judges of wizards' character.
聪聪 健健    Brainy. Hefty?
你还好吗    You okay?
你说的好是什么意思    Define "Okay."
笨笨呢 笨笨    Where's clumsy? Clumsy!
笨笨 笨笨 笨笨    Clumsy! Clumsy! Clumsy!
我还好    I'm good.
快跑 快跑 嘿    Run away! Run away! Hey.
我觉得    I think.
我的背包 我的手册 不要啊 不 不 不 不 不 不    My pack! My manual! No! No, no, no! No, no, no!
我的冒险手册    My scout manual!
都是你的错    This is all your fault!
什么 聪聪 别说了    What? Brainy, cut it out.
哦 对不起 更正 错也有你的份儿 蓝妹妹    Oh, I'm sorry. Correction. This is your fault, too.
别指责她    Leave her out of this.
健健 我不用你帮我    Hefty, I don't need you to fight my fights for me.
稍等 现在连你也生我的气吗    Wait, now you're mad at me, too?
蓝妹妹 你是那个    Smurfette, you're the one
将我们置于窘境的罪魁祸首    that got us into this whole mess in the first place.
拜托 我当初是打算自己来的    Hey, I was ready to do this on my own.
很好 蓝精灵小队真是一片"祥和"    Great. So much for team smurf.
我想大喊大叫    I want to yell about something!
边儿去 笨笨    Stay out of this, clumsy.
怎么说话的 聪聪    That's it, brain man.
你是时候好好学习礼仪了    It's time for you to earn your manners badge.
住手    Stop it!
快找掩护    Take cover!
你们是谁 你们想干什么    Who are you? What do you want?
要她    Her.
过来   蓝妹妹    Move.   Smurfette!
我们该怎么处置她呢    What should we do with her?
看她的头发    Look at that hair.
她是从哪儿来的   看她的裙子    Where's she from?   And that dress.
是你    It's you.
你是个女孩子    You're a girl.
她是个女孩子    She's a girl.
是她    This is her.
她就是我之前和你们说的蓝精灵    This is the smurf I was telling you about.
墙内来的那个蓝精灵吗    The one from the wall?
真的是她吗    She's real?
我是蓝莉莉    I'm smurflily.
你好 我是蓝妹妹    Hi. I'm smurfette.
我的天哪 我是蓝花花    Oh, my geez to petes! I'm smurfblossom.
很高兴认识你 我们这里没有蓝妹妹    Nice to meet you. We don't have a smurfette.
但我们有蓝瓣瓣 蓝三叶    But we do have smurfpetal, smurfclover,
蓝草草 蓝雏菊 蓝冬青 蓝榛榛    smurfmeadow, smurfdaisy, smurfholly, smurfhazel...
你好    Hey.
自我介绍还是稍后再来吧    Oh, everyone can just introduce themselves later.
瞧瞧你 你真是与众不同    Look at you. You're so different.
抱歉冒犯了 但这是大实话    I mean, sorry, but it's true.
你知道如何生火吗    Do you know how to start a fire
只用绳子和树枝哦    with just rope and a stick?
我知道哦 我演示给你看    I do. I can show you.
事实上 蓝风暴能给你演示    Actually, smurfstorm can show you.
她可是个高手 对吧 蓝风暴    She's the best at that kind of thing. Right, stormy?
这意思是 没错    That means "Yes."
你见过彩虹吗    Have you ever seen a rainbow?
双彩虹见过吗    What about a double rainbow?
倒彩虹呢 见过吗    What about an upside down rainbow?
你最喜欢的歌是这样的吗    So, is your favorite song...
它是我最爱的歌哦 你的裙子好漂亮    'Cause mine is. Your dress is so pretty.
蓝花花 记得修理过滤器 知道吗    Smurfblossom, remember, work on that filter, okay?
对对 过滤器    Right. Filter, filter.
你们来这儿有何贵干    What's your deal anyway?
我们是来提醒你们 提防格格巫的    Oh, well, we came to warn you about gargamel.
格格 格格    Garga? Garga?
格格啥    Garga what?
他是危险的巫师 想抓走所有的蓝精灵    He's a dangerous wizard who wants to capture all smurfs
以此增进他的黑魔法    and use them for his evil magic.
他知道你们的神秘村    And he knows about your lost village.
神秘村    "Lost village"?
你才是神秘兮兮那个 不是我们    You're the ones who are lost, not us.
我们得带你去蓝精灵果园    We have to take you to smurfy grove.
我们怎么处理这群软不拉几的蓝色玩意儿    What do we do with these blue blobs?
呃 我想想    Oh, um...
带他们过来    Bring them along.
来吧 蓝妹妹 给你看我的房间    Come on, smurfette. I'm gonna show you my room.
你可以告诉我格格巫的所有事    You can tell me all about gargasmell.
但首先 你想再听一遍我最爱的歌吗    But first, do you want to hear my favorite song again?
好了 动起来    All right, move.
见鬼了    Dang!
女孩子真是麻烦    Girl smurfs mean business.
你说的没错    You got that right.
把门打开    Open the gate!
姑娘们回来了    The girls are back!
哇 你在哪儿找到他们的    Ew! Where did they find them?
他们是哪儿不对劲呀    Is there something wrong with them?
他们生病了吗   他们是食物吗    Are they sick?   Are they food?
不 他们是蓝精灵 和我们一样    No, no, no. They're smurfs, just like us.
不同之处是 他们是男孩子    Except, well, they're boy smurfs.
男孩子 这词真好玩 男孩 男孩 男孩    "Boy." That's a funny word. Boy. Boy. Boy. Boy.
看我 我可是男孩子    Look at me. I'm a boy smurf.
我喜欢他们 他们来自哪里呢    I like 'em. Where do they come from?
这是什么   他们的头发在哪儿    What is that?   Where is their hair?
你看他们的尾巴   你看    You can see their tails.   Oh, look.
喂 别碰   聪聪日志 第二天    Hey, watch it!   Brainy's log, day two.
我们遇到了一种奇怪的新生物    We've encountered a rare new life form.
他们像你吗    Are there more like you?
她们有时非常吓人    They are at times very intimidating.
你们会留下来吗    Are you gonna stay here?
她们身上很香    And they smell nice.
你好 男孩子   稍后继续    Hello, boy.   More on that later.
我也想要这个   保持距离    Oh, I want one!   Boundaries!
好吧 这 别再碰它了    Okay, that... That's enough of that!
他们是我的朋友 健健 聪聪和笨笨    They're my friends. That's hefty, brainy and clumsy.
好的 贱贱 葱葱 本本    Hey, there! Hooptie, berney, klutzy.
记住了    Got it.
我们可以做个胸牌    We should do name tags.
等等 你们村的男孩子呢    Wait, where are your boys?
这里没有男孩子    You won't find any boys here.
我是蓝柳柳 这里的头儿    I am smurfwillow, leader of the smurfs.
这就是自我介绍 接下来轮到你了    This is called an introduction. So, now, you go.
呃 我 呃    Uh, I, um...
不要靠太近 蓝柳柳    Don't get too close, Willow.
有点不对劲    Something's not right here.
我们真的是来帮忙的    I promise we're only here to help.
我们是想告诉你 要小心那个邪恶的巫师 格格巫    We came to warn you about the evil wizard, gargamel.
他有一张地图 上面印着一个地标    He has a map with a landmark
标着通往三棵大树的路    leading him to three tall trees.
给他们看看 聪聪 拍拍虫    Show 'em, brainy. Snappy.
不要搞鬼 小虫    Don't try any funny stuff, bug.
我不想打击你们 但这些不是树    I hate to break it to you, but those aren't trees.
这是瀑布    They're waterfalls.
格格巫找错方向了    Gargamel's going the wrong way.
如果他去了那儿    And if he went there,
就会走进致命沼泽    then that means the swamp of no return.
他不可能活下来的    There's no way he could survive.
啊 救命啊 救命啊    Aah! Help me! Help me!
我要死在这儿了    There's no way I'll survive!
我尊重你的想法 但你不知道格格巫有多厉害    With all due respect, you don't know gargamel.
是么 不是我不尊重你 你不知道我们有多厉害    Yeah, well, with no due respect, you don't know us.
相信我们 他死定了    Trust us, he's a goner.
蓝风暴 你为什么不去检查一下装备呢    Stormy, why don't you do a little recon? Check things out.
留你跟他们四个在一起吗    And leave you here with these four?
不可能 你看这个    No way. Look at that one.
一看就不正常    Huh? He can't be normal.
我会没事的    I think we'll be just fine here.
喷火兽    Spitfire!
行了 那个格格巫 长什么样子    Okay. So, what does this gargamel look like?
哦 就是那种 巫师的样子    Oh, you know, he's your typical wizard.
黑色长袍 跟他的猫和鸟住在一起    Long black robe, lives alone with his cat and his bird.
说起来挺悲伤的    It's sad, really.
你跟我一起来 帮我指认他    You're coming with me. You can point him out.
嘿 喂喂喂 他不可能    Hey. Whoa, whoa, whoa. There's no way he's getting on a...
我觉得你需要知道 我的名字叫笨笨    I feel the need to remind you, my name is clumsy.
笨笨    Clumsy!
别担心 蓝风暴会照顾好他的    Don't worry. Clumsy's in good hands.
蓝风暴就是个刀子嘴 豆腐心    Oh, stormy is the sweetest, in her own way.
好了 姐妹们 与此同时    All right, girls, in the meantime,
让我们欢迎一下远道而来的客人    our guests have had a long journey,
展现我们蓝精灵小树林的风采    so let's show them some hospitality, smurfy grove style.
我很蓝 哒吧嘀哒吧呆    I'm blue da ba dee da ba die
哒吧嘀哒吧呆    Da ba dee da ba die,
哒吧嘀哒吧呆    Da ba dee da ba die,
来吧    Come on.
哒吧嘀哒吧呆    Da ba dee da ba die,
去吧   啊    Go.   Huh?
我很蓝 哒吧嘀哒吧呆    I'm blue da ba dee da ba die
哒吧嘀哒吧呆    Da ba dee da ba die,
哒吧嘀哒吧呆    Da ba dee da ba die,
嘿 蓝妹妹 看我的    Hey, smurfette, check this out.
哒吧嘀哒吧呆    Da ba dee da ba die,
来吧    Come on!
我有座带蓝窗户的蓝房子    I have a blue house with a blue window
我浑身上下都是蓝色    Blue is the colour of all that I wear
蓝色也遍布街道和树木    Blue are the streets and all the trees are too
我有一个忧郁蓝的女朋友    I have a girlfriend and she is so blue
蓝色是这里漫步的人们    Blue are the people here that walk around
蓝就像我的轻武装快舰 里里外外    Blue like my corvette it's in and outside
蓝色是我的言语和思想    Blue are the words I say and what I think
蓝色是我内心里的感觉    Blue are the feelings that live inside me
我很蓝 哒吧嘀哒吧呆    I'm blue da ba dee da ba die
哒吧嘀哒吧呆    Da ba dee da ba die
哒吧嘀哒吧呆    Da ba dee da ba die
哒吧嘀哒吧呆    Da ba dee da ba die
用力 蒙提 用力扇动翅膀    Flap, monty. Flap vigorously.
扇动你有力的翅膀    Use your mighty condor wings
把你的主人带出绝境    to carry your master to safety.
啊 哦 嗷    Ouch! Oh! Ow!
上帝啊 它们咬我屁股    Sweet mercy, they're bottom feeders!
该死的鱼    Devil fish!
那个神秘的蓝精灵村子到底在哪里    Where is my lost smurf village?
什么 又是蓝精灵    What? Smurfs!
为什么他们就是死不了    Why won't they just die?
蒙提 把他们追回来    Monty, retrieve them!
他是存在的 好么    He exists, all right.
他和他那臭烘烘的猫 还有渡渡鸟    He and his stinky cat and his dodo bird.
我们一路上都在惧怕着他    They've been terrorizing us the entire journey.
他从一开始就不喜欢我们    He didn't like us from the start.
他从来没找到过我们的村庄    He never could find our village.
他就设法想把我们全部抓住    So then he made a plan to capture us all,
然后格格巫就做出了蓝妹妹    and that's when gargamel created smurfette.
不管怎么说 等等    Anyways... Hold up.
蓝妹妹是格格巫做出来的    Smurfette was created by this gargamel?
哦 是啊 用一把土    Oh, yeah. From a lump of Clay.
真的很酷    Really cool story, actually.
我就说我不相信她    I knew I didn't trust her.
哦 熟了你就会喜欢她的    Oh, you'd like her if you get to know her.
她跟你差不多 但更友好一点    She's just like you, but nice.
等等 有个怪物飞过来    Hold on. We got a bogey coming in.
那不是怪物 那是格格巫的大笨鸟    That's no bogey. That's gargamel's big dumb bird!
过来 你来飞    Here, you fly.
呃 这可不是个好主意    Uh, that's not a great idea.
我不擅长这个啊    Flying's not really my thing.
你以前没飞过吗    Have you ever flown before?
没有啊    Well, no.
那你怎么知道你不擅长    Well, then how do you know it's not your thing?
他会回来的    He's coming back.
呃 哦 我要怎么    Uh... oh, what do I...
快    Hurry!
我要怎么做    What do I do now?
哦 不错 哇哦    Oh! Good move! Whoa, whoa!
再来一次    Now, do it again!
好吧    Okay.
谢谢    Thanks.
呀 哦    Hyah! Oh!
就这样 等等    Yes. Wait a minute.
我怎么不认识另外一个蓝精灵    I don't recognize that other smurf.
他们找到了那个蓝精灵村    They found my lost smurf village.
嘿 我有个点子    Hey, I've got an idea.
喷火兽 喷火    Spitfire, spit fire!
我喜欢你的想法    I like the way you think.
我觉得我骑龙蜻蜓还是很在行的    I guess I'm pretty good with dragonflies after all.
蒙提    Monty!
他们对你做了什么 我的小猎神    What have they done to you, my glorious bird of prey?
可恶的蓝精灵    Smurfs!
嗯    Hmm?
哼    Hmm.
日式指压还是瑞典的    Shiatsu or Swedish?
瑞典的吧    Probably Swedish.
对了 关于我在湖边    So, about all that stuff
说的那些事    I said back at the beach...
我觉得可能是我反应过度了    I guess I kind of overreacted.
嗯 我也有点    Yeah. Me, too.
所以 我们还是好朋友吧    So, uh, we good?
嗯 没事了   嘿 各位    Yeah, we're good.   Hey, guys.
这地方是不是棒极了    Isn't this place awesome?
她是不是看上去美呆了    Doesn't she look great?
看起来就好像我们中的一员一样    It's like she's one of us now.
她应该和我们永远待在一起    She should stay with us forever.
呃 首先 她看上去一直很美    Uh, one, she always looks great.
第二 这有点一发不可收拾的感觉了 你不觉得吗    And two, this is getting a little out of hand, don't you think?
抱歉    Sorry.
你们脸上的那坨东西真的让我很难正经起来    I can't take you seriously with that mask on your face.
嘿 蓝妹妹 我们只是做了应该做的事    Hey, smurfette, we did what we came here to do.
这些蓝精灵们知道格格巫    These smurfs know about gargamel.
所以 来吧 让我们开始思考如何回家吧    So, come on, let's start thinking about heading home.
家    Home?
可是我 我    But I... I...
是时候回去了    It's time to go.
蓝妹妹    Smurfette?
我们来了    Incoming!
事实证明我真的很会龙骑蜻蜓    Turns out I do do well with dragonflies.
他们是对的 格格巫是真的    They were right. This gargamel character, he's real,
而且他正在过来的路上    and he's headed this way.
噢 不 你看吧 我告诉过你    Oh, no. See? I told you...
你给我住嘴 蓝妹妹    Put a cork in it, smurfette.
照我看来 是你和你的小男朋友    The way I see it, you and your little boyfriends
故意把他带过来的    led him straight to us.
不过 当然了 这就是你一直以来的计划 不是吗    But, of course, that was your plan all along, wasn't it?
淡定 蓝风暴    Smurfstorm, easy.
我们的小金发美人甚至都不是一个真的蓝精灵    Little miss yellow hair isn't even a real smurf.
她是被格格巫制造出来的    She was created by gargamel.
笨笨他自己告诉我的    The clumsy blob told me so himself.
什么    What?
蓝妹妹 是真的吗    Smurfette, is that true?
不是那样的    It's not like that.
她被创造出来就是为了找到我们    She was made to help him find smurfs.
蓝妹妹是过来帮你的 我们也是    Smurfette came here to help you. We all did.
没事的 健健 这都是我的错    It's okay, hefty. This is all my fault.
姑娘们 防御模式    Girls, protection mode.
来吧 兄弟 搭把手    Come on, bro, let's help.
不觉得很刺激吗    Isn't this exciting?
嘘    Shh!
准备    Hold.
准备    Hold.
发射    Now!
投降吧 巫师    Surrender, wizard.
什么巫师    What? Wizard?
喔 他看起来好老    Oh, he's so old.
他是伪装起来了吗 看看他的脸    Is he wearing a disguise? Look at his face.
这不可能    This is impossible.
他看起来不像那种人    He doesn't seem so tough.
没错 格格巫    Yeah, gargamel!
这就是攻击蓝精灵果园的下场    That's what you get when you attack smurfy grove.
格格巫 你们在说什么啊    Gargamel? What are you talking about?
不 不 不对 等一下 你们搞错了    No, no, no, wait. This is a mistake.
咦 蓝妹妹    What? Smurfette?
他是爸爸    That's papa.
爸爸 是什么    Papa? Papa?
又有一个有趣的词    There's another funny word.
爸爸 爸爸 爸爸    Papa. Papa. Papa!
蓝花花 停下    Smurfblossom, no.
深呼吸然后给我    Breathe deep and step away
离这个爸爸远点    from the papa thing.
各位 他是蓝爸爸    Everyone, meet papa smurf.
嘿    Hey.
嘿 我是蓝小玉    Hey. Hi. I'm smurfjade.
男孩子们呢    Where are the boys?
嗨 老爸    'Sup, papa?
您来了啊    Hello there.
我骑了一只龙蜻蜓    I rode a dragonfly!
天呐 感谢上帝你们都没事    Well, thank goodness you're all okay.
你怎么找到我们的    How did you find us?
姜还是老的辣 你知道的    I wasn't born yesterday, you know.
那倒是    Yeah, that's clear.
听着 你们四个和我回家去 现在    Look, you four are coming home with me. Now.
不要着急 这个叫爸爸的东西    Not so fast, papa thing.
叫爸爸的东西 你就是这的老大吗    "Papa thing"? Are you the one in charge here?
是的 我是蓝柳柳    That's right. I'm smurfwillow,
蓝精灵的头    leader of the smurfs.
恐怕我不能赞同    I'm afraid that's quite impossible,
因为我刚好也是蓝精灵的头    because I happen to be the leader of the smurfs.
随便你怎么说 叫爸爸的东西    Whatever you say, papa thing.
不好意思 你可以不要那样叫我吗    Excuse me, do you mind not calling me that?
不然要怎么叫    Well, if the thing fits...
对了 你的那些动作是从哪儿学的    By the way, where'd you learn those moves?
事实上 自学成才的    Self taught, actually.
厉害    Impressive.
谢谢    Thank you.
你真受人欢迎    You're quite welcome.
好了 虽然我不知道现在是什么情况    Okay, not really sure what's happening here,
但是 格格巫怎么办    but, uh, what about gargamel?
什么 这段谈话和格格巫有什么关系    What? What is all this talk about garga...
格格巫    Gargamel!
哦 不好意思 我吓到你了吗    Oh, I'm sorry. Did I scare you?
不 希望如此    No! I hope so.
大家快跑   武装你们自己    Everybody run!   Arm yourselves!
准备迎接进击的格格巫吧    Prepare for garmageddon!
这边    This way!
用长矛 现在    Spears, now!
我说冻    Gargamel says freeze!
这就对了 蓝精灵测试的 格格巫认证    That's right. Smurf tested, gargamel approved,
A级一等的高能量急冻球    grade a, first class, high octane freeze balls.
急冻球 急冻球 急冻球 急冻球    Freeze ball! Freeze ball! Freeze ball! Freeze ball!
小心    Look out!
我觉得就算我不说急冻球    Well, I assume they'll still work
他们还是会有用的    if I don't shout "Freeze ball,"
不过我们永远也不会知道了    but we'll never know.
急冻球   蓝妹妹    Freeze ball!   Smurfette!
健健    Hefty.
完了 蓝妹妹    It's over, smurfette.
蒙提 打包一下 啊    Monty, bag o' smurfs. Ah!
你快跑    It's time for you to run.
不 这里还有三个    No! Three more for pickup.
啊 蓝妹妹 我的小发明    Ah, smurfette. My little creation.
你终于达成我的初衷了    You finally did what you were made for.
不 不是这样的    No. It's not true.
当然是    Of course it is.
不然你为什么要把我引过来    Why do you think you led me here?
为什么你会在河边救了我    Why do you think you saved me on the river?
这些都是计划的一部分    It was all part of the plan.
不论你多努力 都没办法逃脱你的命运    No matter how hard you try, you can't escape your destiny.
现在 你对我来说已经没有利用价值了    And now, you're really of no use to me anymore.
急冻球    Freeze ball!
哦 对了 这些只对真的蓝精灵有用    Ah, yes, these freeze balls only work on real smurfs.
而你充其量只不过是一团黏土罢了    And you are nothing more than a lump of Clay.
谢谢你所做的一切    Thank you for everything.
蓝妹妹 你怎么可以这么对我们    Smurfette? How could you do this to us?
因为这就是她的目的    Because it was her purpose.
天生我材必有用 蓝精灵小分队齐头并进    Smurfy thing finder for four small smurfs.
什么    Huh?
我很抱歉 各位    I'm sorry, you guys.
不 拍拍    No, snappy.
我已经坏了太多事了    I've done too much damage already.
我们是一个蓝精灵小队 我们大家是一体的    We're team smurf, and we're in this together.
我们是蓝精灵   我们做正确的事    We're smurfs.   We do the right thing.
我甚至都不是一个真的蓝精灵    I'm not even a real smurf.
我不是一个真的蓝精灵    I'm not a real smurf.
我们需要更多能量    We need more power!
更快点 蒙提   快点    Faster, monty.   Faster.
对了    Yes.
压缩机在极速振动    The jiggler's jiggling.
旋转塔正在旋转    The spinny thing is spinning.
烟雾正在上升    The smoke is going up.
起泡器正在起泡中    The bubblers are bubbling.
啦啦啦 啦啦啦    Hubbuda, hubbuda.
完美    Perfect!
哦 差不多快成功了    Oh, it's almost there.
接着跑 老鸟    Just keep running, old bird.
接下来我们要这么做    Here's what we're going to do.
我拿着这把锁 好    I pick this lock. Yeah?
荡到那个架子那里去 好    We swing to that shelf. Yeah?
拿起一些重的东西 然后呢    Pick up something heavy. Yeah?
用它杀了那只鸟    And use it to kill the bird!
好 什么 好的 等一下    Yeah! What? Yeah! Wait.
你希望我们杀掉那只鸟    You want us to kill the bird?
好吧 我们只要把它砸晕就行了    Fine. We'll just knock him unconscious.
太棒了 好吧 开始    Genius! All right, then.
撸袖子上吧    Let's do this.
他们有了一个逃跑计划    They have an escape plan,
但是需要我们的帮忙    but they're going to need our help.
是时候用笼子荡个秋千了    It's time to rock the cage.
别说的这么奇怪    Don't be weird.
好吧    Yes!
行了 现在    Okay. Now!
