片名：冰川时代5 星际碰撞
宇宙  The universe
但是今天她却傻笑  But then today, she giggled.
希拉曾傻笑过吗?  Does Shira ever just giggle?
拜托别吃我  Please don't eat me!
哦 希拉不怎么爱笑  Uh Shira's not a big giggler.
艾丽今天傻笑了  Well, Ellie giggled.
还扭来扭去  And then she wiggled.
"嘻嘻嘻”砰  "Tee hee hee hee." Boom!
别再这么做  Don't ever do that again.
我不懂她为何举止变这么怪  I have no idea why she's acting so weird.
女人啊  Women.
女人  Women.
女人  Women.
喂  Hello?
说怪人就到  And speaking of weird.
有人在吗？哦  anybody there? Oh
马可 波罗  Marco? Polo?
嗨 曼尼  Oh, hi, Manny.
你嘴巴好臭  Ew! Your breath is awful.
你是怎么了？  What happened to you?
没事 一切都很棒  Oh, nothing. Everything's great.
美得冒泡 快乐得不得了  Fabulous. Zippity dippity.
我来猜猜她甩了你  Okay, let me guess. She dumped you.
我出了什么问题？  What is wrong with me?
每个人都有另一半  Everybody has somebody.
我这帅气鲜肉却只有流浪乐团相伴  And all I've got is my boyish good looks and this mariachi band.
哦 好痒  Oh! So itchy!
来吧 帮你清理一下  Come on. Let's get you cleaned up.
我只是想要真爱  All I wanted is true love.
这要求太多了吗?  Is that too much to ask?
为何这么安静？  Why is it so quiet?
因为世界在哀悼我的失恋  Because the world is mourning my loss.
艾丽？  Ellie?
小桃？  Peaches?
大家到哪去了？  Where is everyone?
大惊喜  Surprise!
哒啦  Ta da!
老公结婚周年快乐  Happy Anniversary, honey!
结婚周年？  Anniversary?
糟糕 就是那件事  Oh, no. That's the thing.
好 轮到你了 岳父哥  Okay! Now it's your turn, Bro Dad!
对 看看你给艾丽什么？  Yeah! We wanna see what you got Ellie.
曼尼  Manny!
曼尼 曼尼 曼尼  Manny! Manny! Manny!
曼尼  Manny!
嘿 嘿 对  Hey, hey. Right.
再给艾丽点掌声好吗?  How about another hand for Ellie?
好  Yeah.
他忘了  He forgot!
真为艾丽感到难过  I feel so bad for Ellie.
艾丽 我…  Ellie, I Uh
他没忘记  He didn't forget.
曼尼对她的爱就是这么大  That's how big Manny's love is for her!
焰火秀来得正好  Nice save with the light show.
等等不是你做的？那是谁？  Wait, you didn't do this? Then who did?
喔 曼尼  Oh, Manny.
我真怕你会忘记  I was so afraid you'd forgotten.
但你为我点亮天空？  But you lit up the sky for me?
怎么办到的？  How'd you do it?
呃 这个嘛  Uh, well
魔术师绝不泄露秘诀  A magician never reveals his secrets.
谢谢  Thank you.
我想象我们的孩子也在那儿玩  I keep picturing our own kid in there.
一定是最棒的小子  He'd be the best one.
你是说 丫头吧  I think you meant "she."
小子  He.
迭亚哥 这我们早讨论过了  Either way, we've been over this, Diego.
孩子超怕我们  Kids are afraid of us.
是啊 但为何？  Yeah, but why?
我们会被吃掉吗?  Are they gonna eat us?
嘿 孩子们  Hi, kids!
我这次还加上笑容  I even smiled this time.
哇 爸  Wow, Dad.
史上最棒的礼物  Best present ever.
大大 真是卓越婚姻的最佳典范  You, sir, are an education in marital excellence.
我一定会在我们俩离开后想念你们  I'm really gonna miss you guys when we leave.
呃 其实我还没告诉他们  Um, actually, I haven't told them yet.
大惊喜  Surprise!
你要离开？  You're leaving?
我以为你们俩会先跟我们  I thought you guys were gonna live with us
住个几年  the first couple of years.
我知道但朱利安和我想流浪一阵子  I know. But Julian and I kind of want to roam for a while.
流浪   对  Roam?   Yeah!
旅行 探险 到处走走  Travel, explore, just go wherever.
没计划就是最好的计划 这是我的哲学  No plan is the best plan. That's my philosophy.
来点水果？  Hots cyoeuvres'?
那不算计划也不是什么哲学  That's not a plan, or a philosophy
更说不上安全  or very safe.
爸我们还年轻  Dad, we're young.
要烦恼安全可以等到我们又老又闷  We can worry about being safe when we're old and boring.
像你跟妈  Like you and Mom.
我想藏们应该…   抱歉  I think we should just   Excuse me!
这是家族会议  This is a family discussion.
但我不是你们家族成员吗？  But aren't I part of your family?
目前还不是  Not yet, you're not.
那对你来说算是麻烦吗？  Does that look like a problem to you?
一颗朝我们直扑而来的火球？  A ball of fire heading directly towards us?
算什么麻烦？  Why would that be a problem?
要是你摔进坑里失忆了  What if you fall in a ditch and get amnesia?
怎么办？  What then, huh?
曼尼 我们有麻烦  Manny, we have a problem.
没空我才有麻烦  Not now. I have a problem.
这麻烦有点大  This one's a little bigger.
我不认同   曼尼  I don't think so.   Manny!
怎样？  What?
曼尼？  Manny?
好的 各位 派对结束了  Uh, okay. Party's over, everybody.
晚安 马上离开  Have a good night. And leave right now!
你在说什么？派对才刚开始  What are you talking about? The party just got started.
对  Yeah.
只是有点困  Just getting kind of sleepy.
大家都该走了 蹲低 或是找掩护  Everyone should go. And duck. Possibly cover!
嘿 你是怎么了？  Hey, what's gotten into you?
看又来好几个  Look! There's more coming!
流星雨侵袭  Meteor shower!
流星？  Meteor?
清洗？  Shower?
曼尼的爱会害死我们  Manny's love is killing us!
这不是你为我准备的魔术秀吗(  I suppose this is all part of your magic show for me?
天灵灵地灵灵？  Abracadabra?
你们晚点再算账好吗?  Can you guys deal with this later?
快点 得找掩护才行  Come on. We need to take cover.
我超火热  Whoo hoo! I'm on fire!
哇 哇 我也是我们炙手可热  Whoo hoo hoo! Me too! We're smoking hot, baby!
要落地了  Incoming!
是我们的伙伴  Those are ours!
没事吧?你看到几个象牙?  Are you okay? How many tusks do you see?
树  Tree.
三？  Three?
不树  No! Tree!
大家准备跳  Everybody, Jump!
洞穴 进去  The cave! Get inside!
快点 快点  Move! Move!
没事 宝贝 我…  It's okay, sweetheart. Daddy's
嘿 听起来像是变少了  Hey, it sounds like it's slowing down.
对 肯定结束了  Yup, it's definitely over.
除了那一颗  Except for that one.
我们可能要考虑  We might wanna think
住本地下一阵子  about moving underground for a while.
看见没 我拿到蛋  Look at that! I got an egg.
你摸走几颗蛋？小弟  How many eggs did you poach, little brother?
非得偷其他生物的蛋？  Do we have to steal other creatures' eggs?
难道不能吃素吗?  I mean, couldn't we just go vegan?
行啊 吃素食动物  Sure, we could eat vegans.
儿子 我真困惑家里怎么出了你这个废物  Son, sometimes I wonder how you snuck into this family.
费加洛 费加洛 费加洛  Figaro, Figaro
费加洛 费加洛 费加洛  Figaro, Figaro, Figaro
待会赶上你们我还得再次洗一遍  With you in a minute. I'll have to rinse and repeat.
那只黄鼠狼真惹人厌  That weasel is such a buzzkill.
孩子们 走吧  Let's go, kids.
女士 别怕  Don't worry, ma'am.
我会追上偷你蛋的捣蛋鬼  I'll catch the crew that poached your egg.
双关语  It's a pun!
一眨眼就信手拈来  I'm winking under the eye patch.
母亲正在哭泣她是落难女子  A mother is crying A damsel in distress
不祥的入侵者作乱难收拾  Foreboding intruders Have made such a mess
这些可贵情感有人不懂  What I detect is a lack of respect
尊敬重视  For all that is precious and dear
我是迷途世界的小小保护者  I am the pint sized protector Of this lost world
但朋友叫我巴克  But my friends call me Buck.
真有你的 各位  Well played, Guys
我有口信 不欢迎流氓  I have a message, bullies not welcome
快回你贼窝  Return what you've stolen
回你原来地方  Go back where you came from
我非同小可你别傻傻的  You know I'm greater, so don't be a hater
也许你是侏罗纪的 但我更了不起  You may be Jurassic, but I am fantastic
费加洛 费加洛 费加洛  Figaro, Figaro, Figaro, Figaro, Figaro, Figaro
费加洛  Figaro
超爱这段  Oh, love that bit.
奔跑又越岭又转圈笑咪咪  Running and climbing And spinning and grinning
潜水 趴地 闪躲  And dashing and diving and dodging
飘移 滑行 加保住小命  And sliding and gliding and staying alive
这是我午餐前做的  And these are a few of the things
一点小事情  That I do before lunch
挑战玩命危险都回避  Death defying Danger denying
看我飞行  Look, I'm flying
你当我疯子 但人生就一次  You might think I'm mad But, hey, you only live once
不必谢我  No need to thank me
但你若坚持 我不推辞  But if you insist, I won't resist
谁味道像鱼？  Who smells like fish?
屁股坐稳咯  Huh? Hold on to your butts!
到此  Class
为止  Dismissed
圆满  Good egg
你的宝贝女士  Here you are, my lady.
去吧我引开他们  Go! I'll lead them away.
真好玩约  Oh, that was fun!
下周老时间 老地方？  Same time, same place, next week?
失陪  Toodles!
恭喜 黄鼠狼  Congratulations, weasel.
你刚签下自己的死刑令  You just signed your death warrant.
机智抱头鼠窜术  Weaseled my way out of that one.
那些轰隆闪光是什么？  Hmm. What's all that flash and dazzle about?
谁在丛林中间放了一个大岩石?  Who puts a rock in the middle of the jungle?
乖乖  Blimey!
这是什么地方？  What is this place?
啊呀  Whoops!
你好？  Hello?
呀  Yeah!
嗨 好啊 哺乳好友  Oh! Hello, mammals.
嗨 巴克  Hi, Buck!
嗨  Hi.
再见 巴克  Bye, Buck!
呃 拜托请帮我一把  Um, a little help.
正中脾脏  Right on the spleen!
没用的器官但还是很痛  Utterly useless, but totally hurts.
巴克 欢迎回来 兄弟  Hey, Buck. Welcome back, buddy.
等等 这片小肉干就是恐龙沟通师？  Wait. This half a snack is the dinosaur whisperer?
也是老练的萨尔萨舞者  And expert salsa dancer.
我是独眼 但一口全牙都在  I have one eye but all my original teeth.
要数数看吗？  Would you like to count them? Ah
不谢了  No, thank you.
这位一定是小甜桃  And this must be Nectarine.
呃 是小桃  Um Peaches.
叫法不同 亲爱的  Semantics, my dear.
我深感荣幸  I am deeply honored.
眼罩很帅超煞气  Sweet eye patch. Very gangsta.
谢谢  Thank you.
我喜欢这小子   巴克  I like this kid.   Buck.
哇 你在这做什么？  Whoa! What are you doing here?
这个 我… 什么？  Well, I What?
我在努力  I'm trying!
但要怎么跟别人说他们完蛋了？  But how do you tell someone they're doomed?
他木然了  He's stumped.
我们没完蛋巴克  We're not doomed, Buck.
那不过是一阵流星雨而且都结束了  It was just a meteor shower, and the show's over.
恰恰相反老家伙  Oh, quite the contrary, old chap.
那只是开始  It's just beginning.
你看 我找到了预言  You see, I found a prophecy.
别吵好吗?  Do you mind?
