片名：冰川时代5 星际碰撞
宇宙  The universe
看石版的先民智慧能否指引我们  Let's see if the tablet's ancient wisdom will guide us.
让我的哺乳好友通过  Let my mammals pass!
这样有效才怪  That's never gonna work.
先民许可我们安全通行  The ancients grant us safe passage.
好棒  Sweet!
空气的感觉很奇怪  Wow, the air feels strange.
迭亚哥？  Diego?
怎样？  What?
我们总算获得超能力  Finally! We have superpowers!
女士们先生们  Ladies and gentlemen,
我们闯进了电磁暴风圈  we have wandered into an electrical storm.
我建议大家别靠近树木  I suggest we all stay away from the trees.
没问题  Sure, no problem.
他忘了这里是森林吧  It's not like we're in a forest.
天啊 大自然最近心情一定很差  Boy, Mother Nature sure is in a bad mood lately.
幸好我们待在一起互相扶持  Good thing we're all here to help each other.
哦 像我常说的靠得越近活得越久  Oh, like I always say, stay close, stay alive.
他们在那儿  There they are!
毫无遮蔽  Right out in the open.
你们还能多愚蠢？  How stupid can you be?
来吧 孩子们 俯冲  Come on, kids. Dive!
各位 尽量别产生任何种类的摩擦  Everyone, try not to create any sort of friction.
不要摩擦 懂  No friction. Got it.
好 明白  Yup. Cool beans.
摩擦是什么？  Friction is what now?
哦 不  Oh, no.
快离开这里  Come on! Let's get out of here.
奶奶  Hurry, Granny.
快点一不准催促我  Don't you hurry me.
想当年我被雷劈中的次数  I've been struck by lightning more times
奶奶  Ahh! Granny!
比你吃过的米还多  than you've had hot breakfasts.
小桃  Peaches!
朱利安 别动  Julian, don't move!
我有个办法  I have an idea.
宝贝女儿 我来了  I'm coming, sweetheart!
朱利安 怎么不救她？  Julian, why aren't you helping her?
等等 曼尼 她…  Wait! No, Manny, she
你们在做什么？  Uh, what are you guys doing?
在帮忙？  Helping?
我看是越帮越忙  What would "not helping" lookhke?
嘿 爆傻头  Hey,zapheads!
曼尼 准备跑出去  Manny, get ready to run.
快点我们走  Come on, let's go!
都逃出来没？  Everybody make it?
希拉 曼尼 可拉鼠 爱迪 艾丽 奶奶  Shira, Manny, Crash, Eddie, Ellie, Granny.
可恶手指不够数  Aw, shoot! I'm out of fingers.
巴克 巴克在哪里？  Buck. Where's Buck?
听见没？  Do you hear that?
是宝宝  A baby!
里头有个宝宝  There's a baby in there!
巴克 等等 太危险了  Buck, wait! It's too dangerous.
他挂了  He's gone.
真不敢相信  I can't believe it.
少了你不知该怎么办 巴克  Don't know how we'll go on without you, Buck.
好 我们走吧  All right, let's go.
是巴克  It's Buck!
有我呢 不用怕 有我保护你  I got you. Don't worry, I got you.
没事了 乖  There you are. There.
大家打个招呼  Say "hi," everyone.
这小妮子很美吧?  Isn't she gorgeous?
他怎么知道那是女的?  How can he tell it's a she?
好个白白胖胖的宝宝  Such a good little poochie woochie.
我确定一下那是南瓜 没错吧?  Just to be clear, that's a pumpkin, right?
她有点偏见 但应该不会有事  She has a little jaundice, but I think she'll be okay.
你没事的  Yes, you will.
我看就叫你… 布朗温  I think I'll call you Bronwyn.
小兄弟 请快回神到地球上  Um, little buddy? We need you back on planet Earth.
趁地球还在 好吗?  While it's still here. Okay?
没问题 哺乳好友  Right you are, mammal.
谁要拯救世界阻止猛烈的陨石？  Who wants to save the world from the fiery asteroid?
是你  You do!
哺乳好友们今晚就在这儿休息  Okay, mammals. Let's stop here for the night.
休息 那世界末日陨石撞击呢?  Stop? What about the whole end of the world collision thing?
哦 陨石不会这么早到  Oh, asteroid's still a day off.
而且就像我爷爷曾说过  And like my grandfather used to say
红色夜空水手轻松  "Red sky at night, sailor's delight.
紫色夜空 谁拿我护足霜?  "Purple sky at night, who moved my foot cream?
我要擦护足霜  "I need my foot cream."
爷爷是胡涂又易怒的黄鼠狼  Grampy was a confused and angry weasel.
真逗趣 小朱  You are so funny, J.
够了 你才逗趣  Stop! You're funny.
再会不同娘胎出生的虎哥  Take it easy, my brother from a tiger mother.
明天见 小朱  Hasta manana, J man.
刚才那算什么？  What was that?
什么什么？  What was what?
那是很酷的道别方式  Oh, that! It's a cool way to peace out.
朱利安教我的  Julian taught it to me.
很高兴世界末日能增进你们的感情  Well, I'm glad the apocalypse is bringing you together.
曼尼 他是好孩子 我喜欢他的哲学  He's a good kid, Manny. I like his philosophy.
给他机会 用心跟他熟络 熟络  Give him a chance. Bond with him.
烧一把火火火  So light 'em up, up, up
烧一把火火火  Light 'em up, up, up
烧一把火火火 我好火热  Light 'em up, up, up I'm on fire
熟络 这是个好主意  Bonding! That's a good idea!
对 懂了  Oh, right. Got you.
你负责朱利安 小桃交给我处理  You take Julian. I got an idea for Peaches.
嘿 小子哥  Hey, Bro Kid.
岳父哥 你也来摇摆吗？  Oh, hey, Bro Dad. You here to rock out?
与其做这个  Okay. Instead of that
睡前来场比赛好吗？  how about a game before bedtime?
不会吧 你要跟我比赛？  No way! You want to play a game with me? Wow!
1000倍的荣幸是什么？  What is honored times 1,000?
不是100万倍  No! Times one million?
不管答案是什么就是我荣幸的程度  'Cause whatever that equals, is how honored I am.
所以 这代表"好的”吗？  So, is that a "yes"?
就是"好的”最肯定的”好的”  Yes, that's a "yes." It's the most "yes"!
像"好的”后面拉好长的"儿”  It's like "yes" with a bunch of s's
就变成好的儿  so it's like "yessssssssssssssssssss."
很好  Great!
那就冰上见  I'll see you on the ice!
满意吗？  Happy?
不会吧  Oh, boy.
你已经做好自己去流浪的准备了？  So, do you think you're ready to go out roaming on your own?
不只我自己 我还有朱利安  I won't be alone. I'll have Julian.
是啊 但陨石在天上飞  Sure. But with asteroids flying
没家园了 更别说没其他后盾  no home to speak of and absolutely no support system
你认为自己准备好迎接…  do you think you'll be ready for
这个吗？  this?
我是小小宝宝  I'm a wittle baby.
想象一下你在树林里寻找食物  Imagine. You're in the woods, looking for food
你的宝宝生病了 该怎么办？  and your baby gets sick. What do you do?
不 摇晃会让她更难受  No! Jiggling makes her feel worse!
糟糕 刚学步的哥哥  Oh, no! Now your older toddler
跌伤膝盖加鼻塞  has a skinned knee and a stuffy nose.
妈妈 抱抱  Mommy, hold me!
两个宝宝都在哭  Now your babies are crying.
没东西吃 然后  You have no food and then
出现一头狂暴野兽  you come face to face with a rabid beast!
我是狂暴野兽把你传染成狂暴宝宝  lam a rabid beast who gives rabies to babies.
还有一名失控的纵火犯  And there's an arsonist ontheloose.
没我们帮助你要怎么应付这些事？  How are you going to handle all this without our help?
小桃 过关  Peaches, out.
这算简单的  That's just the easy stuff.
还有很多状况得学习  There's a lot more we still need to cover.
宝宝 便便了  Uh Baby made a poopie.
我这是演戏 所以要帮我换尿布  I'm a method actor, so I will need to be changed.
哦 差一点点  Oh! So close!
这些冰球跑真快  These pucks go fast.
眼睛盯着冰球 一路抵达你的球棍  Just watch the puck all the way into the stick.
我办到了  Oh! I did it!
真可惜你和小桃要离开  Too bad you and Peaches are moving away.
要是留下来我们就能常常比赛  If you stayed, we could do this all the time.
好尽管放大招  Okay. Show me the heat!
我是曲棍球忍者  I'm like a hockey ninja!
嘿 小桃  Hey,Peaches!
你有个曲棍球新搭档  Looks like you got a new hockey partner
可以代替你爸  to replace your dad.
糟糕  Oh, no.
朱利安  Julian!
怎么有人舍得离开这种好岳父？  Such a mystery why he wants to move far away.
我又不是故意的  I didn't mean to do it.
那孩子反射神经不好也不能怪我  It's not my fault the kid has no reflexes.
你怎能这样？  How could you do that to him?
我还以为你喜欢朱利安  I thought you liked Julian.
我是喜欢朱利安  I do like Julian.
但你的表现不像  Well, you don't act like it.
在你的眼中你只觉得他是个障碍  When you look at him, all you see is an obstacle.
或者更糟 是个靶子  Or worse, a target.
但我见到一个好好先生  But I see a sweet guy
尽最大的努力想让你满意  who's trying his hardest to impress you.
小桃   不 你们两个别说了  Peaches.   No! Both of you, just stop!
若能活下来 我还是要结婚  If we survive, I'm still getting married
和搬出去  and I'm still leaving home.
不管你们会不会为我高兴  Whether you're happy for me or not.
别这样看我 她说两个  Don't give me that look. She said both.
所以你也算数  That means you, too.
这颗小陨石  And this widdle astewoid
就咻咻咻 一路飞回家  went wee, wee, wee, all the way home.
因为老爹和他的朋友们拯救了世界  Because Daddy and his fwiends saved the world.
如果翼手龙飞不起来  And if that pterodactyl don't fly
老爹的独眼就呜呼哀哉  Daddy's gonna blind his remaining eye
小家伙祝你好梦  Sweet dreams, little one.
好命的南瓜  Lucky pumpkin!
有位慈父一定很棒  It must be nice to have a loving father.
要来 罗杰 你行的  Okay, here we go. You can do this, Roger.
绑架  Kidnapping!
抱歉 不是我的主意  Look I'm sorry. It's not me.
我才不会这样  I would never do something like this.
是我爸爸他疯了  It's my father. He's crazy.
真不敢相信他成功了  I can't believe he pulled it off!
了不起 呆呆  Way to go, dum dum!
谢谢 爸爸  Oh. Thanks, Dad.
没什么那我也办得到  Whatever! I could've done the same thing.
啊呀呀  Well, well.
这下你无法阻止陨石了吧  Looks like you're not stopping that asteroid now,
黄鼠狼？  are you, weasel?
那只不是黄鼠狼那是…  That's not the weasel. That's
不知道那是什么  I don't know what that is. Hmm.
我时辰到了吗 天使？  Is it my time, angel?
什么时辰？  Time for what?
迎向来世的光芒  I'm coming to the light.
等不及跟我痛恨的死亲戚叙叙旧  Can't wait to see all those dead relatives I hate.
拿开 拿开 拿开 拿开  Ahh! Get it off! Get it off! Get it off!
快去帮你姐姐  Go help your sister.
可是 爸…  But, Dad
恶魔天使  Ahh! Demon angel!
惹奶奶生气我就端你屁屁  Mess with Granny, get knocked on your fanny.
就该这么处理  And that's how it's done. Hmm.
你好？天使？  Hello? Angel?
我在天堂吗？  Am I in heaven?
这里又黑又黏糊糊的  It's so dark and squishy in here.
不对 还是看得到光线  Oh, no! I can still see the light.
爸我来救你  Pop! I'll save you.
你好  Hello!
或许这足最好的结局  Oh, well. Probably for the best.
对或许吧   肯定是  Yeah, probably.   Definitely.
天啊  Crikey!
不是吧 巴克 你闯下大祸  Good gravy, Buck. What have you done?
好 哺乳好友 我们该动身了  All right, mammals. Time to get moving.
先别执着在这点 但是没错  Now let's not linger on this, but, yes
我误解石版陨石的距离要近得多  I read the tablet wrong. The asteroid is a lot closer.
等等 奶奶在哪里？  Wait a second. Where's Granny?
奶奶？奶奶？  Oh. Granny? Oh, Granny?
也许她走丢了？  Maybe she wandered off?
也许她被冰球打到脑袋？  Maybe she got hit in the head with a puck?
也许她是被  Yes! And maybe she was abducted
跟我有仇的9米高凶残恐龙鸟  by homicidal 30 foot dino birds
给劫持  seeking revenge on me.
都是好理论我会选冰球那个  All good theories. I'm going to go with the puck.
我就知道  I knew it!
所以我们被一群巨型恐龙鸟跟踪？  So this whole time we've been chased by giant dine birds?
只有三只我不想打击各位士气  Oh, only three! I didn't want to damage morale.
没错 因为我们之前  Right. Because before this,
在无忧无虑地坐邮轮  we were on a carefree pleasure cruise.
等等  Wait a second.
有她的气味 走吧  I've got her scent. Come on!
哺乳好友 我们到了  Mammals, we've made it!
撞击点  The crash site.
一定是之前陨石留下的遗迹  This must be what's left of the previous asteroid.
巴克？你的太空石头  Uh, Buck? Your space rocks!
这么大的磁石一定能让陨石转弯  We could definitely divert the asteroid with a magnet that size!
它的体型如此壮观  I mean that thing is enormous.
如此庞大 它…  It's massive, it's
绝不可能被发射上天  going to be impossible to get off the ground.
一定有可能办到  It's entirely possible.
只是我们还不知道办法  In a way that we don't know aboutyet
可是恐龙马怎么办？  But what about the dine birds?
还有奶奶怎么办？  And what about Granny?
希德 很遗憾  I'm sorry, Sid.
奶奶 心肠狠毒的亲爱奶奶  Oh, Granny. My sweet, malicious Granny.
为什么总是年纪大的先走一步？  Why does it always have to be the old ones who go first?
为什么？  Why?
我还能听见她甜美刺耳的声音  I can still hear her sweet, shrill voice
在来世发出尖叫  shrieking from the afterlife.
奶奶还活着  Granny's alive!
而且她有麻烦  And she's in trouble!
奶奶？  Granny?
奶奶   奶奶？  Granny?   Granny?
她还好吗?  Is she okay?
我不确定  Uh, I'm not sure.
不得碰我奶奶  Unhand my Granny!
不碰我你就没小费  You do and you don't get a tip.
让美丽树懒开心就是最值得的回报  Making this beautiful sloth happy is all the payment I need.
看到没？兔子猛男最懂  You see? Hunky bunny gets it.
奶奶  Granny!
陨石里住着兔子？  There's a bunny living in the asteroid?
没料到有这种事  Did not see that coming.
等看了这个再说吧  Wait till you see this!
耶  Yeah!
在这里表演空翻！  Catching mad air on the half pipe!
太扯了  This is crazy.
他们知不知道  Do you think they know
自己住在磁力靶心里？  they are living in a magnetic bull's eye?
看来这里没人在为大毁灭做准备  Doesn't look like a lot of doomsday prepping going on in here.
真不敢相信  I can't believe it!
有访客  Visitors!
这里从来没有访客  We've never had visitors.
谁来掐我一下 还是我应该掐你？  Somebody pinch me. Or should I pinch you?
等等我两个一起掐  Wait, I'll pinch both of us.
我脑袋坏了吗 这里怎么回事？  Did I hit my head? What's happening here?
真希望这不是一场…  I sure hope this isn't a
梦  Dream!
织梦人  Dream Weaver
我相信你能让我度过夜晚  I believe you can get me through the night
这家伙？说真的？  This guy? For real?
管他的  Whatever.
你好 帅哥  Hello, handsome.
我是布鲁琪  I'm Brooke.
好精致的骨骼结构 下巴真有力  Ooh. Such exquisite bone structure. Such a strong jaw.
我内心狂洒花  I'm getting butterflies!
我内心狂作恶  I'm getting nauseous.
抱歉打断这场古怪的爱情  Sorry to interrupt this weirdo love connection
但我们有点赶时间  but we're kind of in a hurry.
要是动作不快点  If we don't do something fast
那颗陨石会把我们都撞成粉碎  that asteroid is gonna blow us all to smithereens.
听起来很紧急  Oh. That sounds urgent.
最好带你们去见他  I better take you to him.
见谁？你的领导？  Who's "him"? Your leader?
他是我们的一切  He is our everything.
他无所不见 洞察一切  He sees all. He knows all.
而且味道超好闻  And smells amazing!
行 听起来很棒 我们走  Okay. He sounds great. Let's go!
好极了往这边  Brilliant. Right this way.
好耶  Yes!
请随时将你的手脚  Please keep your arms and legs
保持在磁浮车内  inside the tram at all times.
但心灵可以无拘束地漫游  But allow your spirit to roam free
在冰托邦之中  in Geotopia.
我有种好预感  I have a good feeling about this.
也许他真能拯救我们  Maybe he'll be able to help us.
她是说他无所不知  She did say he knows all.
表示懂很多  And all's a lot!
他就在此  Here he is.
名不虚传的冥想大师最上流最祥和  The Master of Meditation, the Supreme Serene
四届重量级思想比赛的世界冠军  the four time Heavy Thoughts champion of the world!
那是羊驼吗 我讨厌羊驼  Is that a llama? I hate llamas.
臭又爱吐痰  They spit and smell.
她也一样  So does she.
我们也一样   我们也一样  So do we!   So do we!
各位哺乳好友好  Greetings, mammals!
香格喇嘛接见时间是…  The Shangri Llama will see you
现在  How.
太美妙了  Ooh. Wonderful.
他在吗？  So where is he?
他在这里 跟你对话  He is here. Talking to you.
我懂了 他是腹语大师  Oh, I get it. He's a ventriloquist
而你是傀儡  and you're the dummy.
不 你才是傀儡   不 你才是傀儡  No, you're the dummy.   No, you're the dummy.
不 傀儡  No, you're the dummy.
这家伙能拯救我们？  This is the guy that's going to save us.
看进内心 你才是傀儡  Look within. You're the dummy.
恶心 我就爱  Disgusting! Loved that!
新话题 我们都快没命了  New topic. We're all about to die.
那不好 紧张是杀手  Well, that's no good. Stress is a killer.
来放松四肢并且把心打开  Let us loosen our limbs and open our minds.
下犬式  Downward Dog!
不是吧？  Uh Seriously?
我等着 我有的是大把时间  I'll wait. I have all the time in the world.
其实 你没有大把的时间  Actually, you don't have all the time in the world.
我们都没有 因为天上有这个东西  None of us do. You see, there's this thing in the sky.
那道一直在变大的闪烁紫光？  Oh. That blinding light  that seems to get larger by the minute?
那又怎样 我觉得没什么  What about it? Seems fine to me.
我无意冒犯 扭曲之王  With all due respect, Your Twistiness,
那是陨石  that's an asteroid.
被磁力吸向这里  It's magnetically attracted to this place
朝我们直扑而来  and it's heading straight for us.
它一定是渴望我们的磁力水晶  It must desire our magnetic crystals.
怎能怪它呢？  Well, who can blame it?
这里确实很不错  They're really quite something.
你知道这能让你永葆青春吗？  Did you know their power grants eternal youth?
我已经超过400岁  I am over 400 years old.
不可能   真的  That's not possible.   Sure it is.
我326岁  I'm 326! Whoo!
你看起来还不满275岁  Huh? You don't look a day over 275.
我们年轻 幸福又安全永远不变  We are young, happy and safe. And we always will be.
都要感谢冰托邦  Thanks to Geotopia!
恭喜 真是太好了  Kudos. It is lovely.
现在 想个办法把它发射到太空中  Now, let's figure out a way to launch it into space!
抱歉 你想摧毁我们的家？  I'm sorry. You want to destroy our home?
反正它终究会被摧毁  It'll be destroyed either way.
但是若能将这磁性材料推向大气层中  But if we propel this magnetic material into the atmosphere
就能改变陨石的路径拯救所有生物  we can change the asteroid's path and save everyone.
你说呢？  What do you say?
毛虫式  Caterpillar!
所以这代表同意吗？或…  So, is that a yes? Or
你的下脊椎累太僵硬了  You are storing a lot of hostility in your lower spine.
香格喇嘛 该怎么办…  Shangri Llama, how are we gonna
烤鸡式 电臀式 弹跳薯泥式  Funky Chicken. Jiggy Jelly. Mashed Potato.
你的柔软度确实令人叹为观止  Your flexibility is a sight to behold.
但究竟要怎么把水晶发射上天？  Now how the devil are we going to launch these crystals?
这是不可能的  You can't. It's impossible.
哇 我累瘫了  Whoo! I am bushed.
见到你们很高兴  Awesome meeting you guys.
如果你们想留下来玩玩随便  Feel free to hang or, you know, whatever.
就这样 他是我们最后希望  That's it. He was our last hope.
我们完了  We're doomed.
对 只获得免费瑜咖课  Yeah. All we got was a free yoga class.
说到这件事  On that subject
拜托帮帮忙 好吗?  could you help me, please?
我的鼻子和屁股近得好危险  My nose is dangerously close to my butt.
希德 你怎么有两条尾巴?  Uh, Sid, why do you have two tails?
我也在里头  I'm in here, too.
嘿 别哭  Hey, don't cry.
想想好的一面  Look on the bright side.
我们最后还能看到人生跑马灯  We get to see our lives flash before our eyes.
这表示我又能跟你谈恋爱  That means I get to fall in love with you
重新体验一遍  all over again.
只有你能把世界末日讲得像好事一样  Only you can make the end of the world sound like a good thing.
我们把她养育得很好  We did a good job raising her.
她比我们想得还坚强  She's stronger than we know.
两天前我愿意拼老命把她留住  Two days ago, I'd have given anything to keep her with us.
现在我愿意拼老命看她结婚  Now I'd give anything just to see her get married,
和离开家  and leave home.
跟她孩子玩耍陪她丈夫跳舞  Play with her kids, dance with her husband.
丈夫忘了结婚周年就臭骂他  Yell at him when he forgets their anniversary.
挺不错的 不是吗?  it was a good one, wasn't it?
我们这一生？你 我 和小桃  Our life? You, me, and Peaches.
最棒的  The best.
布鲁琪  Oh, Brooke.
你真漂亮  You're so pretty.
让我无语问苍天  You take my lisp away.
我猜你对女生都这么说  I bet you say that to all the girls.
我也想但通常女生都跑太快了  I try. But usually they run away too fast.
你这家伙真浪漫  Oh, you're such a romantic.
我知道这听起来会超级冒昧  Hey, I know this is going to sound super forward
但你愿意当我的终身伴侣吗？  but will you be my mate for life?
布鲁琪我不知该说什么  Oh, Brooke, I don't know what to say.
也才过了12分钟  It's only been twelve minutes.
你也拖太久了  What took you so long?
好啊 这是地球有史以来最棒的末日  Yes! This has been the best last day on Earth ever.
钻石我需要钻石  A diamond! I need a diamond!
哪里能找到…  Where can I find a
完美  Oh! Perfect.
不 不 不 希德宝贝 别这么做  No,no,no. Sid, sweetie, don't do that.
别胡说 要把最好的献给唯一…  Nonsense. Only the best for my one true love.
坏了  Whoopsies!
不 不 不  No,no,no!
笨蛋 大傻瓜 蠢东西  Oaf! Simpleton! Nincompoop!
对她说还是对我?  You talking to her or me?
那面墙本来能让我们保持年轻  That wall was the one thing keeping us young.
这下我们全完了完蛋了  Now we're all doomed! Doomed!
我好像开始发烧  And now, I think I have a fever.
谢谢你 小瓜呆  Thank you so much, doofus!
别这样 喇嘛  Hey! Easy there, Llama!
这小瓜呆是我梦中情人  This is the doofus of my dreams.
他没有恶意  He meant well.
他没有恶意  Oh, he meant well.
谁管他啊它  Who cares?
这也叫祥和？  So much for serenity.
整整300年的宁静和谐  300 years of peace and harmony
毁在一只没有极限无法想象  undone by one colossally, incredibly
愚蠢到了极点的树懒手上  stupendously stupid sloth!
布鲁琪  Oh, Brooke.
哇！你们都变老了  Wow! You guys got old.
不管我们有过什么 都结束了  Whatever we had, it's over.
跟熟女约会下场就是这样  That's what happens when you date a cougar.
真的很抱歉 喇嘛大师  I'm really sorry, Mr. Llama.
抱歉 抱歉？  Sorry. Sorry?
无法把墙修好  Sorry doesn't fix the wall now,
你这小…  does it, you little
我需要泡泡澡或按摩  I need a bubble bath or a massage.
谁会针灸？  Who knows acupuncture?
我得释放怒气才行放出来  I need to let my anger out. Let it out!
我已经压抑太久了  I've been pent up too long.
我想动手打人 谁把脸凑过来  I want to hit something. Someone give me their face.
有了压力的能量  That's it! Pent up energy.
地球最具威力的推进装置就在眼前  Earth's most powerful propulsion device is right in front of us.
谁？你说吐痰阿三吗?  Who? Spitty McGee here?
是火山  The volcano!
这就是磁石发射器  That's our magnet launcher.
只要封住火山周边的喷气孔  All we need to do is seal the steam vents around it.
简直是疯狂计划  That's a crazy plan!
你才是疯狂计划  You're a crazy plan.
这句话根本没道理  That doesn't even make any sense.
你又是哪位 逻辑学教授？  And what are you? A professor of logic?
猫须大学瞄电感应系主任 喵喵喵  Professor Kitty McWhiskersof the University of Meow Meow Meow Meow
你看 极大压力就会造成极大的爆炸  You see? Tremendous pressure leadsto a tremendous explosion.
亏你还自称教授呢  And you call yourself a professor.
好 要立刻把所有水晶投入火山  Right. We need all the crystals loaded into the volcano, pronto.
什么？不！  What? No!
我不会交出水晶  I'm not giving you my crystals.
我们还得用来重建圣堂  We need them to rebuild our sanctuary.
可否提醒各位水晶不是你们的财产  May I remind you Geotopia is not yours to keep.
你 不能提醒  No, you may not.
那是从天而降的  It came from the sky,
现在也该归还了  and now it's time to give it back.
不应该  Is not!
应该你这老糊涂  Is too, you old coot.
改变不容易但生命就是这样  Change isn't easy, but it's part of life.
我们也该再次接纳改变  It's time for us to embrace it again.
不管你喜欢或不爱  Whether you like it or not.
不爱  Not!
听着 喇嘛 我不怕拿坚果燕麦砸你  Listen, Llama, I will go nuts and granola on your butt!
所以要么就帮忙  So either get on board
不然就卷成麻花卷滚一边去灵修  or go twist yourself into a pretzel and na ma stay out of our way.
大家一起动手  Come on, everybody.
能拿多少水晶算多少  Grab every crystal you can find.
是啊 一起来  Totally, let's do it!
记住用大腿出力  And remember, lift with your legs.
太迟了  Too late.
听好 行星保卫队  Listen up, planetary defense team.
第一步 封住喷气孔给火山内部增压  Step one, build pressure
喷气孔给火山内部增压  inside the volcano by sealing the vents.
不要放过任何一处喷气  No steam can escape.
如果有泄漏  If there's a leak
压力就不够  the pressure is weak.
第二步在火山爆发前投入最大的水晶  Step two, get the biggest magnetic crystals into the volcano.
得把它们射到高空让陨石偏离轨道  They've got to be launched sky high to pull the asteroid off course.
一 二  Heave!Ho!
一 二  Heave!Ho!
加油 加油  Rah rah! Sis boom bah!
告诉陨石我不怕  Tell that asteroid "Uh uh."
陨石  Whoo! Asteroid!
标签啥意思？  What Does Hash Tag Mean?
不懂但很酷  I Don't Know. But It Sounds Cool!
超同意  Totally!
我开始厌烦了  I'm Starting to get Sick of it!
朋友们到了投进去  This is it, friends. Down the hatch.
每块水晶都要  Every crystal counts.
各位 好消息  Good news, everyone!
我们超前进度6分钟  We're six minutes ahead of schedule.
感谢老天眷顾我们  Somebody up there likes us.
坏消息 看来老天不喜欢我们  Bad news! Somebody up there doesn't like us.
我们落后进度6分钟  We're six minutes behind schedule!
大家速度加倍需要那块大水晶  Double time, everyone. We need that big crystal.
嘿 岳父哥  Oh. Hey, Bro Dad!
有不速之客  We got company!
我去拿海绵蛋糕  Ooh. I'll put out the sponge cake.
稳着点  Steady.
抱歉我现在内心真的很冲突  Sorry about this. I'm really conflicted right now.
这还差不多 罗杰 快解决他  That's more like it, Roger. Now finish him.
等等你们不明白  Wait! Wait, you don't understand.
看到没？  You see that?
要是陨石落地大家都没命  If that asteroid hits, we all die.
要是陨石落地 大家都没命  If it hits, we all die.
这就错了  That's where you're wrong.
你们哺乳类忙着逃命时  See, while you run for your mammal lives
我们能展翅高飞躲过这场大灾祸  we'll be high in the sky, cruising above it all.
那是我听过最愚蠢的话  That's the stupidest thing I've ever heard!
我们会像那些鸟儿一样安全  We'll be as safe as those little birdies.
碰巧打中  Lucky shot.
超碰巧连发？  Very lucky shot?
我就知道我是对的根本没有天堂  I knew it. I was right. There's no paradise.
什么 我还年轻不该灭绝  What? I'm too young to go extinct!
她懂了 帮帮忙 我们时间不多  She gets it! Now, please, we haven't got much time!
你还等什么 宰了他  What are you waiting for? Kill him!
不 爸 我不同意  No, Dad. I won't let you.
你知道我爱我们家哪一点吗？  Do you want to know what I love about our family?
就是我们还活着  That we're alive.
现在有比你自尊心更重要的事  There are more important things than your pride right now.
如果你在乎我们  If you care about us
就不该宰了他  you should not kill him.
而是该帮他爸  You should help him, Dad.
爸 我不想这么说  Pop, I hate to say this,
但怪胎弟弟说得对  but my freaky little brother may be right.
身为父亲我愿意对付最危险的敌人  As a father, I would work with my worst enemy
确保我的孩子有个光明的未来  to ensure a brighter future for my little one.
援军到了  Reinforcements have arrived!
来吧 罗杰 带路  All right, Roger. Lead the way.
这就是获得认可的声音  Oh! So that's what approval sounds like.
加油 恐龙们  Keep it up, dinos.
使用侏罗纪超级力量  Use that Jurassic super strength!
降 降 降  Beep,beep,beep.
当心点 孩子  Watch out, kids!
黄鼠狼降落了  The weasel has landed.
我推它进去带小桃和艾丽先走  I'll push it in. Go with Peaches and Ellie!
不  No!
我不会丢下你我们一起推进去  I'm not leaving you! We'll do this together!
妈 他们在哪？  Mom, where are they?
艾丽 要快点带大家离开火山  Ellie, we've got to get everyone off the volcano.
大伙 蛋糕没了 但有蒜味香肠  Folks, I'm outta cake, but I got salami!
快点 快点  Faster, faster!
蛋糕没了 但有蒜味香肠  I'm outta cake, but I got salami!
奶奶 快走   嘿 哇 哇 哇  Granny, come on!   Hey!Whoa! Whoa! Whoa!
这样推也没用  This isn't working.
表演空翻！  Mad air on the half pipe!
曼尼 我有个计划  Manny, I have a plan!
让这颗水晶自己滚走  We have to let the crystal go!
你知道我们要让它投进火山里吧？  You know we're trying to get it in the volcano, right?
曼尼 我唯一心愿就是陪小桃生活  Manny, the only thing I want is a life with Peaches.
还有向你证明我自己  And to prove myself to you.
好吧所以我有两个心愿  So, okay, two things. I want two things.
你真的认为我会浪费这仅存的机会？  Do you really think I'd waste the only chance I have left?
好那就来吧  Okay, let's do it!
我数到三 一  On my count. One
二  Two
三  Three!
他们在做什么？  What are they doing?
成功了吗?  Did it work?
成了我收回之前批评你的每一句话  Yes! I take back everything lever said about you!
等等 什么？  Wait, what?
快离开这儿  Now let's get out of here!
怎么回事？  What happened?
也许是狂暴前的宁静？  Maybe it's the quiet before the crazy?
爱迪  Eddie!
成功了成功了  We did it. We did it!
去吃土吧 太空石头  In your face, space rock!
漂亮  Yeah, baby!
老 头嘴别过来  Not on the lips, geezer!
太空笨石会转弯  Hit the road, you stupid rock
末日倒数被中断  We just stopped the doomsday clock!
太好了  好极了  Yes! Yeah!   Whoa! All right!
抱一个 女婿哥 欢迎成为一家人  Bring it in, Bro Son. Welcome to the family.
还有你搞怪小子  And you, you coconut!
我绝不会再怀疑你  I'll never doubt you again.
看到了？老爸总是对的  See? Daddy's always right.
等你大一点别忘了  Remember that when you're older.
真的不跟我们一起走？  Are you sure you can't come with us?
希德我也希望可以  Oh, Sidney, I wish I could.
但我们都知道这样做最好  But we both know this is for the best.
你有大好人生在前面等着  You've got your whole life in front of you.
而且我还有奶奶陪我作伴  Besides, I'll have Granny to keep me company.
你也要留下？  You're staying, too?
你说笑吗？这里棒呆了  Are you kidding? This place is great!
今晚有大型才艺秀明天是裸体宾果  Tonight's the big talent show, and tomorrow, naked bingo!
来不来 格拉迪斯？  You coming, Gladys?
我胡了都等白了  I ain't getting any younger! Whoo!
什么 我听不清楚  What? I can't hear you!
什么 我听不清楚  What? I can't hear you!
